# word | phonetic | pos. | meaning | example | topic
extravagantly | /ɪk'strævəɡəntlɪ/ | adv. | 挥霍无度地 |  | environment
topless | /'tɒplis/ |  | a. 无顶的, 袒胸的 |  | general
hosiery | /'hәjziәri, 'hәjʒәri/ | n. | 袜, 内衣裤 |  | general
downwind | /'daun'wind/ |  | a. 顺风的；adv. 顺风 |  | general
tenths | /tenθs/ | n. | 第十（个）( tenth的名词复数 )；十分之一 |  | culture
comparability | /,kɔmpәrә'biliti/ |  | 可比较性；可比性 |  | general
fatima | /'fætimә/ | n. | 法蒂玛（穆罕默德的女儿） |  | general
rueful | /'ru:ful/ |  | a. 悲伤的, 后悔的, 可怜的 |  | general
plexus | /'pleiksәs/ | n. | (血管、神经等的)丛；帕尼扎氏丛(包皮系带外侧窝内的深淋巴丛) |  | technology
cricketing | /ˈkrɪkɪtɪŋ/ | n. | 板球呢；a. 板球运动的 |  | general
marinara | /,mærә'nærә/ | n. | (意大利烹饪用的含西红柿、大蒜、洋葱等调制成；a. 杂菜的 |  | general
gestapo | /^es'tɑ:pәu/ | n. | <德>盖世太保, 纳粹秘密警察 |  | society
bart | /bɑ:t/ | abbr. | 从男爵（Baronet） |  | general
sharia | /ʃә'ri:ә/ | n. | 伊斯兰教教法 |  | education
uptick | /'ʌptik/ |  | (股票)报升(成交价格比上一个交易高的成交或 |  | economy
verifiable | /'verifaiәbl/ |  | a. 可核实的, 可证实的；可检验的, 可作证的, 可证实的 |  | general
rheumatoid | /ru:'mætɒid/ |  | a. 类风湿病的；风湿病样的 |  | culture
cacao | /kә'kɑ:әu/ | n. | 可可豆, 可可树；可可 |  | general
cerulean | /si'ru:ljәn/ |  | a. 蔚蓝的 |  | general
representational | /.reprizen'teiʃәnl/ |  | a. 代表的 |  | culture
climactic | /klai'mæktik/ |  | a. 顶点的, 高潮的 |  | general
disadvantageous | /,disædvɑ:n'teidʒәs/ |  | a. 不利的, 蔑视的, 贬抑的 |  | general
flatware | /'flætwєә/ | n. | 扁平餐具 |  | general
companionable | /kәm'pænjәnәbl/ |  | a. 友善的, 好交际的 |  | general
birdhouse | /'bә:dhaus/ | n. | 鸟笼, 鸟舍 |  | general
cagey | /'keidʒi/ |  | a. 狡猾的, 机警的, 有戒心的, 不敢表 |  | general
beady | /'bi:di/ |  | a. 晶亮如小珠的, 饰有珠子的, 起泡的 |  | general
authentically | /ɒ:'θentikli/ | adv. | 可靠地, 真正地 |  | general
shiitake |  |  | 香菇；香蕈 |  | general
umpteenth | /,ʌmp'ti:nθ/ |  | a. <口>第无数次(个)的 |  | general
quiche | /ki:ʃ/ | n. | 乳蛋饼 |  | culture
interchangeably |  | adv. | 可交换地, 可交替地, 可互换地 |  | general
nondenominational | /nɒndɪnɒmɪ'neɪʃənl/ |  | a. 不限于一宗教宗派的, 与宗教宗派无关的 |  | culture
anaconda | /,ænә'kɔndә/ | n. | 水蟒(产于南美洲),似水蟒的大蟒 |  | general
goliath | /gәu'laiәθ/ | n. | 哥利亚(<<圣经>>中人物) |  | general
maneuverability | /mә.nu:vәrә'biliti/ | n. | 操纵灵活性, 机动性；机动性 |  | general
tamoxifen | /tә'mɔksifen/ |  | 他莫昔芬；三苯氧胺 |  | general
reflectively | /rɪˈflektɪvlɪ/ | adv. | 深思熟虑地；反光地 |  | general
councilwoman | /'kajnsәl,wjmәn/ |  | 女议员 |  | general
lingerie | /,lænʒә'ri:, 'læn-/ | n. | 女式内衣 |  | general
inequitable | /in'ekwitәbl/ |  | a. 不公平的, 不公正的；不公正的, 不公平的, 偏私的 |  | general
educative | /'edjukәtiv/ |  | a. 教育的, 教育上的, 教育性的 |  | education
arithmetical | /.æriθ'metikl/ |  | a. 算术的, 算术上的；算术的 |  | general
esophageal | /i(:),sɔfә'dʒi(:)әl/ |  | a. 食管；食管的 |  | general
treeless | /'tri:lis/ |  | a. 无树木的 |  | general
scriptural | /'skriptʃәrәl/ |  | a. 圣经的, 依据圣经的 |  | general
incestuous | /in'sestjuәs/ |  | a. 近亲相奸的, 乱伦的；乱伦的, 犯乱伦罪的 |  | general
knobby | /'nɒbi/ |  | a. 多节的, 多瘤的 |  | general
comprehensiveness | /ˌkɒmprɪ'hensɪvnəs/ |  | 详尽；综合性 |  | general
compositional |  |  | 组合的 |  | general
remodeling |  | n. | 重塑；改建 |  | culture
bronchial | /'brɔŋkiәl/ |  | a. 支气管, 细支气管；支气管的 |  | general
aquarius | /ә'kweәriәs/ | n. | 宝瓶宫；宝瓶（星）座 |  | general
sourly | /'sauәli/ | adv. | 性情乖僻地, 阴郁地, 坏心眼地 |  | general
protectively | /prəˈtektɪvlɪ/ | adv. | 保护（性）地, 防护地 |  | general
obstetrics | /әb'stetriks/ | n. | 产科学；产科学 |  | general
winningest |  |  | 赢得最多比赛的 |  | general
junkie | /'dʒʌŋki/ | n. | 有毒瘾者, 废旧品商人 |  | general
doctoral | /'dɒktәrәl/ |  | a. 博士的 |  | general
onshore | /'ɒnʃɒ:/ |  | a. 向陆的, 陆上的, 在国内的；adv. 向陆地, 在陆上, 在国内 |  | general
antifreeze | /'æntifri:z/ | n. | 防冻剂；防冻 |  | general
collation | /kɔ'leiʃәn/ | n. | 核对, 小吃, 斋日的点心, 茶点, 零食；整理 |  | general
allegorical | /.æli'gɒrikl/ |  | a. 寓言的, 讽喻的 |  | general
tranche | /trɑ:nʃ/ |  | 一片, 一期, 一批 |  | general
stylistically | /staɪ'lɪstɪklɪ/ | adv. | 在文体上 |  | general
neoliberalism | /,niәu'libәrәlizәm/ |  | 新自由主义 |  | economy
sourdough | /'sajәdәj/ | n. | 含酵母的面团 |  | general
ephemera | /i'femәrә/ | n. | 生命短促的人(或物), 蜉蝣 |  | general
brasserie | /'brɑ:s'ri:/ | n. | 啤酒店 |  | general
sulphuric | /sʌl'fjuәrik/ |  | a. 硫的 |  | general
rococo | /rә'kәukәu/ | n. | 洛可可式, 洛可可风格；a. 洛可可式的, 旧式的, 俗丽的 |  | culture
participative | /pɑ:'tɪsɪpeɪtɪv/ |  | a. 参与的, （尤指经营管理上）下级职员参 |  | work
bluefish | /'blu:fiʃ/ | n. | 蓝鱼 |  | education
suppleness | /'sʌplnis/ | n. | 易弯曲, 柔软, 顺从 |  | general
riviera | /,rivi'eәrә/ | n. | 海滨游憩胜地 |  | general
thrombosis | /θrɒm'bәusis/ | n. | 血栓形成；血栓形成 |  | general
cohabitation | /,kәuhæbi'teiʃәn/ |  | 同居 |  | general
isis | /'aisis/ | abbr. | （美）废钢铁协会（Institute of；综合科学情报服务（Integrated Sc |  | general
plasticine | /'plæstisi:n/ | n. | 橡皮泥, 塑像用粘土；塑泥 |  | education
signet | /'signit/ | n. | 印, 图章；vt. 盖章于 |  | general
positional | /pә'ziʃәnl/ |  | a. 位置的, 地位的 |  | general
peaty | /'pi:ti/ |  | a. 泥煤似的, 多泥煤的 |  | general
egalitarianism | /i.ɡæli'tεәriәnizәm/ | n. | 平等主义, 平均主义 |  | economy
unenforceable |  |  | 不能强制的, 不能执行的, 不能实行的 |  | general
ghoulish | /'gu:liʃ/ |  | a. 食尸鬼似的, 残忍的 |  | general
crinkly | /'kriŋkli/ |  | a. 起皱的, 绉褶多的, 蜷缩的 |  | general
unread | /.ʌn'red/ |  | a. 没有人读过的, 读书不多的, 无学问的 |  | general
unencumbered | /'ʌnin'kʌmbәd/ |  | a. 没有阻碍的, 不受妨碍的, 没有负担的 |  | general
sleeveless | /'sli:vlis/ |  | a. 无袖的 |  | general
scratchy | /'skrætʃi/ |  | a. 潦草的, 刺痛的, 发痒的, 凑合的 |  | general
plaintively | /'pleɪntɪvlɪ/ | adv. | 悲哀地, 哀怨地 |  | general
hierarchically | /,haiə'rækikəli/ | adv. | 分等级地, 分级体系地 |  | general
flotsam | /'flɒtsәm/ | n. | 浮货, 废料, 零碎；漂流的船货 |  | general
upwardly | /'ʌpwədlɪ/ | adv. | 在上面地, 向上地 |  | general
undefeated | /ˌʌndɪˈfi:tɪd/ |  | a. （选手或运动队）未被打败过的, 未输过；不败 |  | general
shorebird | /'ʃɔ:bɜ:d/ | n. | 岸禽类鸟；沙禽, 水鸟（尤指鸻目类鸟） |  | general
telepathic | /.teli'pæθik/ |  | a. 传心术的 |  | general
sagely | /'seidʒli/ | adv. | 贤能地, 贤明地 |  | general
tomatillo | /,tәumә'ti:lәu/ | n. | 粘果酸浆 |  | general
regretful | /ri'gretful/ |  | a. 惋惜的, 遗憾的, 抱歉的 |  | general
pseudo | /'sju:dәu/ |  | a. 假的, 冒充的 |  | general
boreal | /'bɒ:riәl/ |  | a. 北的 |  | general
obscurely |  | adv. | 费解地, 晦涩地；隐匿地 |  | general
postdoc | /pәjst'dɔk/ |  | a. & n.<口>=postdoctora |  | education
masochistic | /ˌmæsə'kɪstɪk/ |  | a. 性受虐狂者的, 受虐狂者的 |  | general
legged | /'le^id, le^d/ |  | a. 有...腿的 |  | general
forlornly | /fə'lɔ:nli/ | adv. | 可怜地；孤苦伶仃地 |  | general
cookout | /'kjkajt/ | n. | 在外面野餐的郊游 |  | general
chintz | /tʃints/ | n. | 磨擦轧光印花棉布；摩擦轧光印花棉布 |  | general
scraggly | /'skrægli/ |  | a. 蓬乱的, 锯齿状的, 凸凹不平的 |  | general
casualness |  | n. | 偶然 |  | general
baize | /beiz/ | n. | 台面呢(台球用) |  | general
weightless | /'weitlis/ |  | a. 无重量的, 失重的, 不重要的 |  | general
uninspired | /.ʌnin'spaiәd/ |  | a. 未受灵感启迪的, 无灵感的, 缺乏创见 |  | general
unheated | /ʌn'hi:tid/ |  | a. 未加热的,不热的 |  | general
stealthily | /'stelθili/ | adv. | 暗地里, 悄悄地 |  | general
rootless | /'ru:tlis/ |  | a. 无根的, 无所寄托的 |  | society
purportedly | /p\\\\:'pɔ:tidli,'p\\\\:p-,'p\\\\:pәt-/ | adv. | 据称 |  | general
inbred | /'in'bred/ |  | a. 天生的, 同系繁殖的 |  | general
coattails |  |  | 燕尾提举力 |  | general
coarsely | /'kɒ:sli/ | adv. | 粗糙地, 粗俗地, 鄙俗地 |  | general
purposive | /'pә:pәsiv/ |  | a. 有目的的 |  | general
anatomic | /,ænә'tɔmik/ |  | a. 解剖的, 结构上的, 解剖学上的；解剖学的 |  | work
metallurgical | /,metә'lә:dʒikәl/ |  | a. 冶金的, 冶金学的；治金的, 治金术的 |  | general
guardianship | /'gɑ:diәnʃip/ | n. | 监护, 保护, 守护；监护, 保护, 监护人的职责 |  | general
formless | /'fɒ:mlis/ |  | a. 无定形的, 形体不明的, 没有形状的 |  | general
quint | /kwint/ | n. | 五度音程, 五胞胎之一, 五个一组, 篮球队 |  | general
uselessly | /'ju:sləslɪ/ | adv. | 无益地, 无用地 |  | general
dollhouse | /'dɔlhajs/ | n. | 玩具小屋 |  | general
gurus | /ˈɡuru:z/ | n. | （个人的）宗教老师（或指导）( guru的名；专家 |  | education
clematis | /'klemәtis/ | n. | 铁线莲 |  | health
circulatory | /'sә:kjulәtәri/ |  | a. 循环的；循环的 |  | general
lazarus | /'læzәrәs/ | n. | 乞丐, 穷人 |  | health
penne | /'pennei/ | n. | 通心粉；管形面点, 管状面 |  | general
thyroid | /'θairɒid/ |  | a. 甲状腺的, 甲状的, 甲状软骨的；n. 甲状腺, 甲状软骨, 甲状腺剂 |  | general
oneness | /'wʌnnis/ | n. | 单一性, 同一性, 统一性 |  | general
fifths | /'fɪfθs/ |  | a. 第五；n. 五分之一( fifth的名词复数 ) |  | culture
deterministic | /di.tә:mi'nistik/ |  | a. 决定论的, 命运注定论的 |  | general
virgo | /'vә:ɡәu/ | n. | 处女座；维尔格铬镍钨 |  | general
fibrillation | /,faibri'leiʃәn/ | n. | 纤维性颤动；纤维性颤动, 原纤维形成 |  | general
validly | /'vælidli/ | adv. | 有根据地, 正当地, 有效验地 |  | general
handoff | /'hændɔf/ | n. | 手递手传球 |  | general
sinus | /'sainәs/ | n. | 窦, 静脉窦, 凹陷处 |  | general
indifferently | /in'difәrәntli/ | adv. | 不关心地, 冷淡地, 淡然地 |  | general
gonorrhea | /,^ɔnә'ri:ә/ | n. | 淋病；淋病 |  | health
sequentially | /si'kwenʃәli/ | adv. | 继续地, 从而；循序地 |  | general
mono | /'mɔnәu/ |  | a. 单声道的 |  | general
grammatically | /ɡrə'mætɪklɪ/ | adv. | 符合语法规则地 |  | general
formaldehyde | /fɒ:'mældihaid/ | n. | 甲醛；甲醛 |  | general
conduction | /kәn'dʌkʃәn/ | n. | 传导；传导 |  | general
mincemeat | /'mins,mi:t/ | n. | 剁碎的肉, 肉馅, 百果馅 |  | general
inductive | /in'dʌktiv/ |  | a. 归纳的, 感应的；感应瓦特计 |  | culture
hermeneutical | /ˌhə:məˈnju:tikəl/ |  | a. （尤指对<圣经>等经书的）解释（学）的 |  | culture
angina | /æn'dʒainә/ | n. | 咽痛, 绞痛；咽峡炎, 咽痛, 绞痛 |  | health
acetaminophen | /,æsi'tæminәfәn/ | n. | 乙酰, 退热净, 氨基酚；对乙酰氨基酚 |  | economy
quorum | /'kwɒ:rәm/ | n. | 法定人数, 挑选出的一组人；法定决议票数, 法定人数 |  | economy
readability | /.ri:dә'biliti/ | n. | 易读, 可读性；可读性 |  | culture
portability | /.pɒ:tә'biliti/ | n. | 可携带, 轻便；可移植性 |  | general
banqueting |  |  | 设宴 |  | work
unrecognizable |  |  | 不可识别的 |  | general
materiel | /mәtiәri'el/ | n. | 物料, 军品 |  | general
notionally | /'nəuʃənəli/ | adv. | 想象地 |  | health
nationhood | /'neiʃәnhud/ | n. | 国家地位；成为国家的事实或状态, 民族主义 |  | general
cheekily | /'tʃi:kili/ | adv. | 厚脸皮地 |  | general
censorious | /sen'sɒ:riәs/ |  | a. 爱批判的, 挑剔的 |  | general
nonalcoholic | /.nɒnælkә'hɒlik/ |  | a. 不含酒精的 |  | general
redfish | /'redfiʃ/ | n. | 鲑鱼 |  | general
grotty | /'^rɔti/ |  | a. 坏的, 恶劣的, 龌龊的 |  | general
intramural | /.intrә'mjurәl/ |  | a. 校内的, 内部的；壁内的 |  | society
