# word | phonetic | pos. | meaning | example | topic
applause | /ә'plɒ:z/ | n. | 鼓掌, 喝彩, 赞许 |  | general
mythical | /'miθikә l/ |  | a. 神话的, 存在于神话中的, 神话式的 |  | culture
alternately | /'ɒ:ltәnәtli/ | adv. | 交替地, 间隔地 |  | general
unscrupulous | /.ʌn'skru:pjulәs/ |  | a. 无道德原则的, 不审慎的, 肆无忌惮的 |  | general
shameful | /'ʃeimful/ |  | a. 可耻的, 丢脸的, 不道德的, 淫猥的 |  | general
deceptive | /di'septiv/ |  | a. 迷惑的, 虚伪的, 欺诈的 |  | general
rebellious | /ri'beljәs/ |  | a. 造反的, 反抗的；造反的, 反抗的, 反判的 |  | society
tiresome | /'taiәsәm/ |  | a. 累人的, 烦人的 |  | health
justly | /'dʒʌstli/ | adv. | 公正地, 理由充分地, 正当地 |  | society
inflexible | /in'fleksәbl/ |  | a. 不屈曲的, 不屈挠的, 顽固的 |  | general
unorthodox | /.ʌn'ɒ:θәdɒks/ |  | a. 非正统的, 异教的 |  | culture
respectful | /ri'spektful/ |  | a. 表示尊敬的, 有礼貌的, 谦恭的 |  | general
consternation | /.kɒnstә'neiʃәn/ | n. | 惊愕, 恐怖, 惊惶失措 |  | general
vigilance | /'vidʒilәns/ | n. | 警戒, 警觉, 失眠症；不眠症, 警醒症 |  | general
idyllic | /ai'dilik/ |  | a. 田园诗的, 牧歌的, 悠闲的 |  | general
aloof | /ә'lu:f/ |  | a. 远离的, 冷淡的；adv. 远离, 冷漠超然地 |  | general
spectacularly |  | adv. | 引人注目地；壮观地 |  | general
credence | /'kri:dәns/ | n. | 信任, 祭器台, 供桌, 凭证；设计人, 创立人, 创设人 |  | health
distasteful | /dis'teistful/ |  | a. 味道差的, 使人不愉快的, 讨厌的 |  | general
meticulously |  | adv. | 过细地, 细致地 |  | general
insidious | /in'sidiәs/ |  | a. 隐伏的, 阴险的, 狡猾的；隐袭的 |  | general
forthright | /fɒ:θ'rait/ | adv. | 直率地, 直接地, 马上, 立即；a. 直接的, 直率的, 坦白的 |  | general
illustrious | /i'lʌstriәs/ |  | a. 著名的, 辉煌的, 明亮的 |  | general
cursory | /'kә:sәri/ |  | a. 匆匆忙忙的, 草率的, 粗略的 |  | general
unquestionably |  | adv. | 毫无疑问, 不成问题, 无可非议, 确实 |  | general
tact | /tækt/ | n. | 机智, 手法, 老练；(自动加工线的)生产节拍 |  | technology
charisma | /kә'rizmә/ | n. | 非凡的领导力, 神秘的个人魅力, 神授的能力 |  | general
psyche | /'psaiki/ | n. | 灵魂, 精神, 普赛克(希腊神话中人类灵魂的；精神, 心灵 |  | health
adaptable | /ә'dæptәbl/ |  | a. 能适应的, 适合的, 可修改的 |  | culture
pristine | /'pristi:n/ |  | a. 太古的, 原来的, 古时的, 原始的 |  | general
perilous | /'perilәs/ |  | a. 危险的, 濒临毁灭的 |  | general
inextricably |  | adv. | 无法摆脱地, 解不开地, 不能解决地 |  | general
freshness | /'freʃnis/ | n. | 新, 新鲜, 精神饱满 |  | health
expansive | /ik'spænsiv/ |  | a. 扩张性的, 使扩大的, 广阔的；膨胀的 |  | general
aptly | /'æptli/ | adv. | 适当地, 适宜地 |  | general
wilful | /'wilful/ |  | a. 任性的, 固执的, 故意的, 存心的；有意的, 故意的, 任性的 |  | general
devout | /di'vaut/ |  | a. 虔诚的, 虔敬的, 诚恳的 |  | culture
joyful | /'dʒɒiful/ |  | a. 欢喜的, 高兴的, 令人高兴的 |  | general
fanatical | /fә'nætikәl/ |  | a. 狂热的, 盲信的 |  | general
envious | /'enviәs/ |  | a. 嫉妒的, 羡慕的 |  | general
comprehensible | /.kɒmpri'hensibl/ |  | a. 可理解的 |  | general
sumptuous | /'sʌmptʃuәs/ |  | a. 奢侈的, 华丽的 |  | general
judicious | /dʒu:'diʃәs/ |  | a. 头脑精明的, 贤明的, 判断正确的 |  | general
flamboyant | /flæm'bɒiәnt/ |  | a. 火焰似的, 辉耀的, 华丽的 |  | general
fateful | /'feitful/ |  | a. 宿命的, 重大的, 决定性的 |  | general
debatable | /di'beitәbl/ |  | a. 可争论的, 成问题的, 未决定的 |  | general
impotence | /'impәtәns/ | n. | 无力, 虚弱, 无效, 阳萎；阳萎, 无能力 |  | general
disagreeable | /.disә'griәbl/ |  | a. 令人不快的, 厌恶的, 不合意的 |  | general
liberally | /'libәrәli/ | adv. | 宽大地, 大方地, 自由地 |  | general
fearless | /'fiәlis/ |  | a. 大胆的, 勇敢的, 无畏的 |  | general
reliant | /ri'laiәnt/ |  | a. 依赖的, 信赖的 |  | general
forlorn | /fә'lɒ:n/ |  | a. 孤独的, 悲惨的, 凄凉的 |  | general
disinterested | /dis'intristid/ |  | a. 无私欲的, 廉洁的, 公平的 |  | general
abundantly | /ә'bʌndәntli/ | adv. | 大量地, 丰富地 |  | general
anemia | /ә'ni:miә/ | n. | 贫血, 贫血症, 无活力；贫血 |  | general
prudence | /'pru:dns/ | n. | 审慎, 慎重, 精明, 节俭 |  | general
impervious | /im'pә:viәs/ |  | a. 透不过的, 不易损坏的, 无动于衷的；不能透过的 |  | general
defunct | /di'fʌŋkt/ |  | a. 死的, 不能使用的；n. 死者 |  | general
congenial | /kәn'dʒi:njәl/ |  | a. 协调的, 一致的, 适意的, 趣味相同 |  | general
radiant | /'reidiәnt/ |  | a. 发光的, 明亮的, 辐射的, 容光焕发；放射的, 辐射的, 辐射物 |  | general
fictitious | /fik'tiʃәs/ |  | a. 假想的, 编造的, 虚伪的；假定的, 假设的, 虚构的 |  | general
elaborately | /i'læbәreitli/ | adv. | 苦心经营地, 精巧地 |  | work
affluence | /'æfluәns/ | n. | 富裕, 丰富, 流注；丰富, 流入 |  | general
clandestine | /klæn'destin/ |  | a. 偷偷摸摸的；秘密的, 暗中的 |  | general
uniqueness | /ju:'ni:knis/ |  | 唯一性 |  | general
salutary | /'sæljutәri/ |  | a. 有益的, 有用的, 有益健康的；适于健康的 |  | health
venerable | /'venәrәbl/ |  | a. 庄严的, 值得尊敬的 |  | general
unconventional | /.ʌnkәn'venʃәnl/ |  | a. 不依惯例的, 非传统的, 非常规的 |  | culture
joyous | /'dʒɒiәs/ |  | a. 快乐的, 高兴的 |  | general
firmness | /'fә:mnis/ | n. | 坚固, 坚牢, 坚定 |  | health
avid | /'ævid/ |  | a. 渴望的, 急切的, 劲头十足的 |  | general
agility | /ә'dʒiliti/ | n. | 敏捷, 灵活, 机敏 |  | general
conciliatory | /kәn'siliәtәri/ |  | a. 安抚的, 和好的, 调和的 |  | general
humid | /'hju:mid/ |  | a. 潮湿的, 湿润的, 多湿气的 |  | general
unparalleled | /.ʌn'pærәleld/ |  | a. 无比的, 无双的, 空前的 |  | general
senseless | /'senslis/ |  | a. 无感觉的, 无意识的, 不省人事的 |  | general
agile | /'ædʒail/ |  | a. 敏捷的, 灵活的, 机敏的 |  | health
pivotal | /'pivәtәl/ |  | a. 枢轴的, 关键的, 起中心作用的 |  | general
immobile | /i'mәubail/ |  | a. 不动的, 不变的, 固定的, 静止的 |  | general
pitiful | /'pitiful/ |  | a. 慈悲的, 可怜的, 令人同情的, 可鄙 |  | general
amicable | /'æmikәbl/ |  | a. 友善的, 友好的；友好的, 和睦的, 温和的 |  | general
serene | /si'ri:n/ |  | a. 宁静的, 沉着的, 安详的, 晴朗的；n. 晴朗, 平静 |  | general
inquisitive | /in'kwizәtiv/ |  | a. 好问的, 想知道的, 好追根究底的 |  | general
incoherent | /.inkәu'hiәrәnt/ |  | a. 不连贯的, 语无伦次的；不连贯的 |  | general
incessant | /in'sesnt/ |  | a. 不断的, 不绝的, 无尽的 |  | general
aloft | /ә'lɒft/ | adv. | 在高处, 在上 |  | culture
contemptuous | /kәn'temptʃuәs/ |  | a. 轻蔑的, 鄙视的, 瞧不起人的 |  | general
sullen | /'sʌlәn/ |  | a. 愠怒的, 沉闷的, 阴沉的 |  | general
sensuous | /'senʃuәs/ |  | a. 感觉上的, 使感官以快感的, 敏感的 |  | general
torrential | /tɒ'renʃәl/ |  | a. 奔流的, 急流的, 猛烈的 |  | general
embryonic | /.embri'ɒnik/ |  | a. 萌芽的, 初期的, 未成熟；胚胎的 |  | work
superstitious | /.sju:pә'stiʃәs/ |  | a. 迷信的；迷信的, 由迷信引起的 |  | society
unrestricted | /.ʌnri'striktid/ |  | a. 无限制的 |  | general
evasive | /i'veisiv/ |  | a. 逃避的, 回避的, 托辞的；逃避的, 规避的, 推托的 |  | general
shyness | /'ʃainis/ | n. | 羞怯, 胆怯 |  | general
satirical | /sә'tirik(ә)l/ |  | a. 讽刺的, 讥讽的, 好挖苦的, 写讽刺 |  | general
diagonally | /dai'ægәnәli/ | adv. | 对角地 |  | general
supremely |  | adv. | 崇高地；至上地 |  | general
journalistic | /,dʒ\\\\: nә'listik/ |  | a. 新闻业的, 新闻工作者的, 报刊特有的 |  | work
sarcastic | /sɑ:'kæstik/ |  | a. 讽刺的, 讥讽的 |  | general
southwards | /'sajθwәdz/ | adv. | 在南方 |  | general
outdoors | /'aut'dɒ:z/ | n. | 户外, 野外活动；adv. 在户外, 在野外 |  | general
longevity | /lɒn'dʒeviti/ | n. | 长命, 长寿, 寿命；长寿 |  | general
ablaze | /ә'bleiz/ |  | a. 着火的, 闪亮的, 激昂的；adv. 着火, 闪耀 |  | general
westward | /'westwәd/ | n. | 朝西的方向；a. 向西的 |  | general
reddish | /'rediʃ/ |  | a. 微红的, 略带红色的 |  | general
paternal | /pә'tә:nl/ |  | a. 父亲的, 父系的, 似父亲的, 得自父；父系的, 父亲的 |  | general
onward | /'ɒnwәd/ |  | a. 向前的, 前进的；adv. 向前, 前进, 在先 |  | general
dimensional | /dai'menʃәnәl/ |  | a. ...维的；量纲的 |  | general
logistics | /lәu'dʒistiks/ | n. | 后勤学, 后勤；后勤学 |  | work
cryptic | /'kriptik/ |  | a. 神秘的, 含义模糊的, 隐藏的；隐蔽的 |  | general
spontaneity | /.spɒntә'ni:iti/ | n. | 自然发生, 自生, 自发 |  | environment
cosmos | /'kɔzmɔs/ | n. | 宇宙, 秩序, 和谐, 大波斯菊；大波斯菊 |  | general
celestial | /si'lestjәl/ |  | a. 天的, 天国的, 天空的；天的, 天空的, 天国的 |  | general
serenity | /si'reniti/ | n. | 宁静, 沉着, 晴朗 |  | health
carnage | /'kɑ:nidʒ/ | n. | 大屠杀, 残杀 |  | general
disrepute | /.disri'pju:t/ | n. | 丧失名誉, 坏名声, 不名誉 |  | general
opium | /'әupjәm/ | n. | 鸦片；阿片 |  | general
disobedience | /.disә'bi:djәns/ | n. | 不服从, 不孝, 违反 |  | general
culinary | /'kʌlinәri/ |  | a. 厨房的, 烹调用的 |  | general
idleness | /'aidlnis/ | n. | 懒惰, 闲散, 失业；空载 |  | economy
genteel | /dʒen'ti:l/ |  | a. 有教养的, 上流的, 优雅的 |  | general
frightful | /'fraitful/ |  | a. 可怕的, 惊人的, 丑的, 非常的 |  | general
unanimity | /.ju:nә'nimiti/ | n. | 无异议, 同意, (全体)一致；全体一致, 一致同意, 合意 |  | general
carelessly | /'kєәlisli/ | adv. | 不注意地, 粗心地 |  | general
altruism | /'æltruizm/ | n. | 利他主义, 利他 |  | society
contagious | /kәn'teidʒәs/ |  | a. 触染性的, 会蔓延的；(接)触(传)染的 |  | general
impulsive | /im'pʌlsiv/ |  | a. 冲动的, 受感情驱使的, 任性的；冲动的 |  | general
anecdotal | /,ænek'dәutl/ |  | a. 轶事的, 爱谈奇闻轶事的, 多轶事的 |  | general
incredulity | /.inkri'dju:liti/ | n. | 不轻信, 怀疑, 疑心 |  | general
fragmentary | /'fræ^mәntәri/ |  | a. 碎片的, 碎屑的, 片断的, 断片的 |  | culture
reversible | /ri'vә:sәbl/ |  | a. 可逆的, 可撤消的；n. 双面可用织物 |  | general
luster | /'lʌstә/ | n. | 光彩, 荣誉, 光泽；vi. 有光泽, 发亮 |  | general
acidic | /ә'sidik/ |  | a. 成酸的, 尖刻的, 酸性的；酸性 |  | general
sardonic | /sɑ:'dɒnik/ |  | a. 嘲笑的, 冷笑的, 讥讽的；痉笑的 |  | general
saliva | /sә'laivә/ | n. | 唾液, 唾沫, 涎；涎, 唾液 |  | culture
hearsay | /'hiәsei/ | n. | 传闻, 谣言 |  | general
interdependent | /.intәdi'pendәnt/ |  | a. 相互依赖的, 相互依存的 |  | general
feverish | /'fi:vәriʃ/ |  | a. 发热的, 极度兴奋的, 不安的 |  | general
dreadfully | /'dredfjli/ | adv. | (非正式)非常, 可怕地, 令人惊骇地 |  | general
autobiographical | /ɔ:tәjbaiә'^ræfik(ә)l/ |  | a. 自传的, 自传体的 |  | general
aghast | /ә'gɑ:st/ |  | a. 惊骇的, 吓呆的 |  | general
chateau | /ʃæ'tәu/ | n. | 城堡 |  | general
husbandry | /'hʌzbәndri/ | n. | 农事, 饲养业, 家政 |  | general
sanitation | /sæni'teiʃәn/ | n. | (环境)卫生, 环境卫生的提倡/维持, 卫生；环境卫生 |  | environment
absenteeism | /æbsәn'ti:iz(ә)m/ | n. | 经常无故缺席, 旷职, 旷工, 旷课；有计划的怠工, 旷工 |  | general
preponderance | /pri'pɒndәrәns/ | n. | 优势, 多数；优势 |  | general
extant | /ek'stænt/ |  | a. 现存的, 未毁的 |  | general
chivalry | /'ʃivәlri/ | n. | 骑士精神, 骑士制度 |  | health
magnetism | /'mægnitizm/ | n. | 磁性, 吸引力, 磁学, 催眠术；磁学 |  | general
infallible | /in'fælәbl/ |  | a. 绝无错误的, 绝对可靠的；n. 一贯正确的人 |  | general
botany | /'bɒtәni/ | n. | 植物学；植物学 |  | general
concentric | /kɒn'sentrik/ |  | a. 同中心的, 同轴的；同心的, 共心的 |  | general
temperance | /'tempәrәns/ | n. | 节欲, 戒酒, 禁酒, 节制；节制(饮食等), 戒酒 |  | general
perspiration | /.pә:spә'reiʃәn/ | n. | 汗, 流汗, 努力；出汗 |  | general
tropics |  | n. | 热带地区 |  | environment
parasitic | /,pærә'sitik/ |  | a. 寄生的, 由寄生虫引起的；寄生的 |  | general
malevolent | /mә'levәlәnt/ |  | a. 有恶意的, 坏心肠的 |  | general
evaporation | /i.væpә'reiʃәn/ | n. | 蒸发, 脱水, 消失；蒸发 |  | general
geometrical | /.dʒiәu'metrikl/ |  | a. 几何学的, 几何的；几何学的 |  | general
predictive | /pri'diktiv/ |  | a. 预言性的, 成为前兆的 |  | general
compensatory | /kәm'pensәtәri/ |  | a. 赔偿的, 补偿的, 代偿的；代偿的, 补偿的 |  | general
octopus | /'ɒktәpәs/ | n. | 章鱼 |  | general
curt | /kә:t/ |  | a. 简略的, 简短的, 生硬的 |  | general
gunpowder | /'gʌnpaudә/ | n. | 火药；有烟火药 |  | general
spherical | /'sferikl/ |  | a. 球的, 球面的, 球状的, 天体的；球形的, 球状的 |  | general
geologic | /dʒiә'lɔdʒik/ |  | a. 地质的, 地质学的 |  | general
makeup | /'meikʌp/ | n. | 组成, 性格, 化妆品, 化装(术), 虚构 |  | general
woolen | /'wulin/ | n. | 毛制品；a. 羊毛的, 羊毛制的, 毛织的 |  | general
sewerage | /'su:әridʒ/ | n. | 排水设备, 污水；污水 |  | environment
auditory | /'ɒ:ditәri/ |  | a. 听觉的, 听觉器官的；听的, 听觉的 |  | general
affective | /ә'fektiv/ |  | a. 情感的, 表达感情的；感情的, 情感的 |  | general
convex | /'kɒnveks/ |  | a. 中凸的, 凸圆的, 凸面的；n. 凸状, 凸面体, 凸面结构 |  | general
impassive | /im'pæsiv/ |  | a. 无感情的, 冷淡的, 无感觉的, 不能 |  | general
spinach | /'spinitʃ/ | n. | 菠菜, 货币, 胡说八道 |  | economy
naturalistic | /.nætʃәrә'listik/ |  | a. 自然的, 自然主义的 |  | environment
philharmonic | /.filɑ:'mɒnik/ |  | a. 爱好音乐的, 交响乐团的, 爱乐团体的；n. 音乐爱好者, 音乐协会, 音乐会, 交 |  | culture
inasmuch | /.inәz'mʌtʃ/ | adv. | 因...之故, 在...范围内 |  | general
fermentation | /,fә:men'teiʃәn/ | n. | 发酵；发酵 |  | general
helium | /'hi:liәm/ | n. | 氦；氦 |  | economy
kinetic | /kai'netik/ |  | a. 运动的, 运动引起的, 动力学的, 活；运动的, 动的, 动力的 |  | general
viscous | /'viskәs/ |  | a. 粘的, 粘性的；粘的 |  | general
acupuncture | /'ækju.pʌŋktʃә/ | n. | 针刺, 针刺疗法；vt. 施以针灸 |  | health
obese | /әu'bi:s/ |  | a. 肥胖的；肥胖的 |  | general
portraiture | /'pɒ:tritʃә/ | n. | 肖像绘制(法), 肖像画, 描写 |  | general
photosynthesis | /.fәutәu'sinθәsis/ | n. | 光合作用；光合作用 |  | general
convection | /kәn'vekʃәn/ | n. | 传送, 对流, 传导；对流 |  | general
sedimentary | /.sedi'mentәri/ |  | a. 沉渣的, 沉淀物的, 由沉淀物所生成的；沉淀的, 沉积的, 沉降的 |  | general
valor | /'vælә/ | n. | 英勇, 刚勇, 勇猛 |  | general
pancreas | /'pæŋkriәs/ | n. | 胰腺；胰 |  | general
nonviolence | /nɒn'vaiәlәns/ | n. | 非暴力；不诉诸武力的主张, 政策, 无暴力存在 |  | society
supplementation | /,sʌplimen'teiʃәn/ | n. | 增补, 补足, 补充 |  | general
cubism | /'kju:bizm/ | n. | 立体派 |  | culture
