# word | phonetic | pos. | meaning | example | topic
hopelessly |  | adv. | 绝望地, 无可奈何地 |  | general
broadband | /'brɔ:dbænd/ |  | 宽带 |  | technology
curricular | /kә'rikjulә/ |  | a. 课程的 |  | education
gemma | /'dʒemә/ | n. | 芽, 无性芽, 芽体；芽, 微胶粒, 分子团 |  | general
wastewater | /'weistwɔ:tә/ | n. | 废水 |  | environment
fiberglass | /'faibә^lɑ:s/ | n. | 玻璃纤维, 玻璃丝；玻璃纤维 |  | general
fibrosis | /fai'brәusis/ | n. | 纤维变性, 纤维化；纤维变性, 纤维化 |  | general
crossly | /'krɒsli/ | adv. | 横地, 相反地, 故意为难地 |  | general
irritably |  | adv. | 性急地；暴躁地 |  | general
papacy | /'peipәsi/ | n. | 罗马教皇职位, 教皇权, 教皇世系；罗马教皇的职位, 教皇权, 教皇统治 |  | society
ontological | /.ɒntә'lɒdʒikl/ |  | a. 存在论的, 本体论的, 实体论的 |  | general
fri |  | abbr. | 最终成品抽验（Final Random In |  | general
lms |  | abbr. | lambs 小羊, 羔羊；least mean square 最小均方 |  | general
cray | /krei/ | n. | 小龙虾（等于crayfish） |  | general
senna | /'senә/ | n. | 山扁豆, 番泻叶, 轻泻剂；番泻叶 |  | general
frau | /frau/ | n. | （德）夫人；已婚的女人 |  | general
snp |  | abbr. | （英国）苏格兰国民党（Scottish Na |  | environment
epithelium | /.epi'θi:liәm/ | n. | 上皮；上皮 |  | general
bryony | /'braiәni/ | n. | 泻根属植物；泻根 |  | general
tod | /tɒd/ | n. | 狐, 托德(羊毛重量单位), 丛 |  | general
chub | /tʃʌb/ | n. | 白鲑 |  | general
dup | /dʌp/ | v. | 打开；重复 |  | general
balsamic | /bɒ:l'sæmik/ |  | a. 香膏质的, 如香油的, 镇静的；香脂性的, 香脂的 |  | general
tue |  | abbr. | 星期二（Tuesday） |  | general
ono |  | abbr. | 或最近报价（售货广告用语） |  | work
pancreatitis | /,pæŋkriә'taitis/ | n. | 胰腺炎；胰炎 |  | general
colorectal | /,kәjlә'rektәl/ |  | a. 结肠直肠的 |  | general
plasminogen | /plæz'minәdʒin/ |  | 纤溶酶原；血纤维蛋白溶酶原 |  | general
oesophagitis | /i:sɔfә'dʒaitis/ |  | 食管炎 |  | general
solidly |  | adv. | 坚硬地；坚固地 |  | general
regrettable | /ri'gretәbl/ |  | a. 可悲的, 可惜的, 抱歉的 |  | general
impotent | /'impәtәnt/ |  | a. 无力的, 虚弱的, 无效的, 阳萎的 |  | technology
unprepared | /.ʌnpri'pєәd/ |  | a. 无准备的, 即席的, 不期而遇的 |  | general
mistakenly | /mɪ'steɪkənlɪ/ | adv. | 错误地, 被误解地 |  | general
blatantly |  | adv. | 喧闹地；公然地 |  | general
unanswered | /.ʌn'ɑ:nsәd/ |  | a. 未答复的, 无反应的 |  | general
admirably | /'ædmәrәbli/ | adv. | 极好地, 美好地 |  | general
regrettably | /ri'^retәbli/ | adv. | 抱歉地, 遗憾地,可悲地 |  | general
wholeheartedly |  | adv. | 全心全意地, 全神贯注地 |  | general
unforeseen | /.ʌnfɒ:'si:n/ |  | a. 未预料的 |  | general
patently | /'peitntli/ | adv. | 明显地, 公然地 |  | general
unheard | /.ʌn'hә:d/ |  | a. 没有被听到的, 未予倾听的, 未予考虑 |  | general
rigorously |  | adv. | 严厉地；残酷地 |  | general
falsely | /'fɒ:lsli/ | adv. | 虚伪地, 错误地, 不实地 |  | general
mindful | /'maidful/ |  | a. 深切注意的, 留神的, 留心的 |  | general
intermittently |  | adv. | 间歇地 |  | general
crudely | /'kru:dli/ | adv. | 照自然状态, 未成熟地, 粗杂地 |  | environment
unwell | /.ʌn'wel/ |  | a. 不舒服的, 生病的, 身体不好的 |  | health
unconnected | /'ʌnkә'nektid/ |  | a. 不连接的, 分离的, 不连贯的, 无亲；非连通的 |  | general
inescapable | /.ini'skeipәbl/ |  | a. 逃不掉的, 不可避免的 |  | general
forcefully |  | adv. | 激烈地；强有力地 |  | general
afloat | /ә'flәut/ |  | a. 飘浮着的, 在海上的, 浸满水的, 在；adv. 飘浮着, 在海上, 浸满水, 在进 |  | general
comprehensively |  | adv. | 包括地；包括一切地 |  | general
unfriendly | /.ʌn'frendli/ | adv. | 不友善地 |  | general
unchallenged | /.ʌn'tʃæliŋdʒd/ |  | a. 未引起争论的, 未受到挑战的, 毫无疑；不回避的, 未引起争论的, 不成问题的 |  | general
illogical | /i'lɒdʒikl/ |  | a. 不合逻辑的, 无缘由的；不合逻辑的, 无条理的, 说不通的 |  | general
afresh | /ә'freʃ/ | adv. | 重新 |  | general
vehemently | /'vi:əməntlɪ/ | adv. | 激烈地；暴烈地 |  | general
hotly | /'hɒtli/ | adv. | 暑热地, 激烈地, 热心地 |  | general
soundly | /'saundli/ | adv. | 完全地, 健全地, 坚牢地 |  | general
workable | /'wә:kәbl/ |  | a. 可经营的, 可使用的；能工作的, 机械等能使用的, 材料等可加工的 |  | technology
mindless | /'maindlis/ |  | a. 没头脑的, 不小心的, 不留神的 |  | health
truthful | /'tru:θful/ |  | a. 说真话的, 诚实的, 真实的, 如实的；真实的, 说实话的, 诚实的 |  | general
scandalous | /'skændәlәs/ |  | a. 不体面的, 可耻的, 诽谤性的, 爱传 |  | general
footwear | /'fjtweә(r)/ | n. | 鞋类, 靴类 |  | general
adrift | /ә'drift/ | adv. | 漂流地, 漂浮着, 随波逐流地；a. 漂浮着的 |  | education
uppermost | /'ʌpәmәust/ |  | a. 最高的, 最上面的；adv. 在最上面, 在最高处 |  | general
priceless | /'praislis/ |  | a. 无价的, 极贵重的 |  | general
limitless | /'limitlis/ |  | a. 无限的, 无界限的 |  | general
habitually | /hә'bitjjәli/ | adv. | 习惯(性), 惯常, 习以为常, 出于习惯 |  | general
speedily | /'spi:dili/ | adv. | 赶紧, 快快地 |  | general
inventive | /in'ventiv/ |  | a. 善于创造的, 发明的 |  | culture
bribery | /'braibәri/ | n. | 贿赂行为, 行贿, 受贿；行贿, 受贿 |  | general
undeniably |  | adv. | 确凿无疑地；不可否认地 |  | general
painstakingly |  | adv. | 煞费苦心地；费力地 |  | general
inexorably |  | adv. | 冷酷地；无情地 |  | general
succinctly | /sək'sɪŋktlɪ/ | adv. | 简洁地；简洁地, 简便地 |  | general
latterly | /'lætәli/ | adv. | 近来, 最近 |  | general
graphically |  | adv. | 生动地, 活灵活现地, (正式)用图表表示 |  | general
friendliness | /'frendlinis/ | n. | 友谊, 亲切, 亲密 |  | general
eminently |  | adv. | 很, 突出地, 非常 |  | general
alarmingly | /ə'lɑːmɪŋli/ | adv. | 让人担忧地 |  | general
wayward | /'weiwәd/ |  | a. 任性的, 难以捉摸的, 不稳定的, 刚；顽强的, 任性的, 不规则的 |  | general
murderous | /'mә:dәrәs/ |  | a. 凶狠的, 杀人的, 致命的；谋杀的, 杀人的, 残酷的 |  | general
suicidal | /sjui'saidәl/ |  | a. 自杀的, 自杀性的, 自我毁灭的；自杀的 |  | general
astonishingly | /ə'stɔniʃiŋli/ | adv. | 令人惊讶地 |  | general
appreciative | /ә'pri:ʃiәtiv/ |  | a. 有欣赏力的, 感激的 |  | general
undeniable | /.ʌndi'naiәbl/ |  | a. 不可否认的 |  | general
overboard | /'әuvәbɒ:d/ | adv. | 自船上落下, 在船外 |  | general
inadequately |  | adv. | 不适当地；不够好地 |  | general
imaginable | /i'mædʒinәbl/ |  | a. 可想像的, 可能的 |  | general
answerable | /'ɑ:nsәrәbl/ |  | a. 有责任的, 可回答的；应负责任的, 可驳斥的, 可答覆的 |  | general
anew | /ә'nju:/ | adv. | 重新, 再 |  | general
unnamed | /'ʌn'neimd/ |  | a. 未命名的, 没有名字的, 未提及的；无名的 |  | general
ruthlessly | /'ru:θləslɪ/ | adv. | 无情地, 冷酷地, 残忍地 |  | general
effortlessly | /'efətləslɪ/ | adv. | 不作努力地, 不费力地 |  | general
unsuspecting | /.ʌnsә'spektiŋ/ |  | a. 不怀疑的, 无疑虑的, 信任的；无怀疑的, 信任的 |  | general
uncontrollable | /.ʌnkәn'trәulәbl/ |  | a. 无法控制的；不能控制的 |  | work
unchecked | /.ʌn'tʃekt/ |  | a. 未加抑制的, 未经检查的；未选中的 |  | general
verbally | /'v\\\\:bәli/ | adv. | 口头地, 非书面地 |  | culture
singularly | /'siŋgjulәli/ | adv. | 少见地, 不可思议地, 异常地 |  | general
passively |  | adv. | (贬)被动, 守势, 受动, (贬)消极 |  | general
delightfully | /dɪ'laɪtfəlɪ/ |  | 大喜, 欣然 |  | general
absurdly | /әb'sә:dli/ | adv. | 荒谬地, 荒唐地, 愚蠢地 |  | general
gracefully |  | adv. | 优雅地；温文地 |  | general
unworthy | /.ʌn'wә:ði/ |  | a. 不值得的, 不相称的 |  | general
tragically | /'trædʒɪklɪ/ | adv. | 悲剧地, 悲惨地 |  | general
justifiably | /dʒʌstɪ'faɪəblɪ/ | adv. | 无可非议地 |  | general
carelessness |  | n. | 粗心大意 |  | general
amply | /'æmpli/ | adv. | 充足地, 充裕地 |  | general
infrequently |  | adv. | 很少发生, 不常发生, 罕见, 稀罕, 偶有 |  | general
horseback | /'hɒ:sbæk/ | n. | 马背；adv. 在马背上, 骑在马上 |  | general
fatally | /'feitәli/ | adv. | 致命地, 不幸地, 宿命地 |  | general
categorically |  | adv. | 无条件, 绝对, 明白, 断言, 明显, 明 |  | general
whence | /(h)wens/ | adv. | 从何处, 出于什么原因, 从哪个；n. 来处, 根源 |  | general
unprotected | /'ʌnprә'tektid/ |  | a. 没有防卫的, 无掩护的, 未设防的；无保护的, 非保护的 |  | general
inhuman | /in'hju:mәn/ |  | a. 残忍的, 无人性的, 非人类的；非人道的, 不人道的, 残忍的 |  | general
transatlantic | /.trænsәt'læntik/ |  | a. 横渡大西洋的, 大西洋彼岸的, 美国的 |  | general
unsympathetic | /'ʌn.simpә'θetik/ |  | a. 不表同情的, 无情的, 无反应的 |  | culture
handsomely | /'hænsәmli/ | adv. | 漂亮地, 整齐地, 当心地, 慢慢地, 优厚 |  | general
scientifically | /.saiәn'tifikәli/ | adv. | 合乎科学地, 学问上, 系统地 |  | technology
manifestly | /'mænifestli/ | adv. | 明白地 |  | general
eagerness | /'i:gәnis/ | n. | 热心 |  | general
peacetime | /'pi:staim/ | n. | 平时时期, 和平 |  | general
materially | /mә'tiәriәli/ | adv. | 实质上, 重大, 物质上 |  | general
helplessness | /'helpləsnəs/ | n. | 无可奈何状态, 无能为力；无助的状态 |  | work
conspicuously | /kən'spɪkjʊəslɪ/ | adv. | 显著地, 超群地 |  | general
profitably | /'prɒfitәbli/ | adv. | 有利地, 有益地 |  | general
unconcerned | /.ʌnkәn'sә:nd/ |  | a. 漠不关心的；无关的, 不相关的, 不关心的 |  | general
splendidly | /'splendɪdlɪ/ | adv. | 壮丽地；豪华地 |  | general
idealistic | /ai'diәlistik/ |  | a. 理想主义的, 唯心论的, 唯心主义的 |  | general
downright | /'daunrait/ |  | a. 明白的, 率直的, 十足的；adv. 全然, 彻底, 完全 |  | general
arbitrarily | /'ɑ:bitrәrili/ | adv. | 任意地, 武断地, 专横地, 反复无常地 |  | general
rationally |  | adv. | 理性地；讲道理地 |  | general
belatedly | /bi'leitidli/ | adv. | 延迟地；延续地 |  | general
hourly | /'auәli/ |  | a. 每小时的, 以小时计的, 频繁的；adv. 每小时地, 频繁地, 不绝地 |  | general
distinguishable | /dis'tiŋ^wiʃәbl/ |  | a. 区别得出的, 辩认得出的, 可辨别的 |  | general
spiritually |  | adv. | 在精神上地 |  | health
disproportionately |  | adv. | 不匀称, 不相称 |  | general
vociferous | /vәu'sifәrәs/ |  | a. 大声叫的, 喊叫的, 喧嚷的 |  | general
wishful | /'wiʃful/ |  | a. 愿望的, 渴望的, 一厢情愿的 |  | general
uninterrupted | /'ʌn.intә'rʌptid/ |  | a. 不间断的, 连续的, 不断的 |  | general
seductive | /si'dʌktiv/ |  | a. 诱惑的, 引人注意的, 有魅力的 |  | general
unequivocally | /ˌʌnɪˈkwɪvəkəlɪ/ | adv. | 只有一种含意地, 清楚明白地 |  | general
midterm | /'midtә:m/ |  | a. 中期的；n. 期中考试 |  | education
objectionable | /әb'dʒekʃәnәbl/ |  | a. 会引起反对的, 令人讨厌的 |  | general
limelight | /'laimlait/ | n. | 石灰光, 石灰光灯, 以石灰光灯照射的舞台；vt. 使受到注目, 使显露头角 |  | general
inactivity | /.inæk'tiviti/ | n. | 不活动, 不活泼, 休止状态；商业呆滞 |  | economy
elegantly |  | adv. | 优美地 |  | general
barbaric | /bɑ:'bærik/ |  | a. 野蛮的, 粗野的 |  | general
affectionately | /ә'fekʃәnitli/ | adv. | 挚爱地, 亲切地 |  | general
roundtable |  |  | a. 圆桌的, 圆台 |  | general
uphill | /'ʌp'hil/ |  | a. 上坡的, 向上的；adv. 往上坡, 向上地 |  | general
uncomplicated | /'ʌn'kɔmplikeitid/ |  | a. 简单的；不复杂的 |  | general
singly | /'siŋgli/ | adv. | 一个一个地, 各自地, 单身地 |  | general
sharpness | /'ʃɑ:pnis/ | n. | 锐利, 严厉, 疾速；清晰度 |  | general
miscellaneous | /.misә'leinjәs/ |  | a. 各种的, 多方面的；各种的, 不同性质的 |  | general
apiece | /ә'pi:s/ | adv. | 就每个而论, 各 |  | general
unoccupied | /.ʌn'ɒkjupaid/ |  | a. 空着的, 没人占的, 未被占领的 |  | general
unforgettable | /.ʌnfә'getәbl/ |  | a. 忘不了的, 令人难忘的 |  | general
workmanship | /'wә:kmәnʃip/ | n. | 手艺, 技巧；技巧 |  | economy
unborn | /.ʌn'bɒ:n/ |  | a. 未诞生的, 未来的, 在胎内的；未诞生的, 未来的, 原来存在的 |  | general
sleepless | /'sli:plis/ |  | a. 不睡眠的, 睡不着的, 不休息的 |  | general
