# word | phonetic | pos. | meaning | example | topic
histologic |  |  | a. 组织学 |  | work
functionalism | /'fʌŋkʃәnәlizm/ | n. | 功能论, 机能心理学, 功能主义, 实用第一 |  | environment
thievery | /'θi:vәri/ | n. | 偷窃, 赃物；偷窃行为, 被窃之物, 偷窃事件 |  | society
subsidiarity | /səbˌsɪdiˈærɪti/ | n. | 权力自主原则, 权力下放原则（允许成员针对影 |  | general
mujahideen | /ˌmu:dʒəhə'di:n/ | n. | （尤指中东的）穆斯林游击队员 |  | general
stardust | /'stɑ:dʌst/ | n. | 星团, 幻觉 |  | health
methinks | /mi'θiŋks/ | v. | 我想, 我以为, 据我看来 |  | general
pap | /pæp/ | n. | 奶头, 乳头状物, 软食, 半流质食物；分组交换过程协议, 打印机访问协议 |  | general
nope | /nәup/ | adv. | 不, 不是 |  | general
fivefold | /'faivfәuld/ |  | a. 五重的, 五倍的；adv. 五重地, 五倍地 |  | general
coniferous | /kәu'nifәrәs/ |  | a. 松柏目的, 结球果的 |  | culture
admissibility | /әd.misә'biliti/ | n. | 有入场的资格, 可容许；可采纳, 可接受, 有资格加入 |  | general
amphibious | /æm'fibiәs/ |  | a. 水陆两栖的, 能两栖作战的, 陆海空军；两栖的 |  | general
skeet | /ski:t/ | n. | 双向飞碟 |  | general
kappa | /'kæpә/ | n. | 希腊文第十个字母(K) |  | general
lesbianism | /'lezbiәnizəm/ |  | 女子同性恋爱的 |  | general
teleconference | /'telikɔnfәrәns/ |  | 电信会议, 远程会议 |  | general
bulgur | /'bjl^jә(r)/ | n. | 碾碎的干小麦 |  | general
ellipse | /i'lips/ | n. | 椭圆, 椭圆形；椭圆 |  | general
permissiveness | /pə'mɪsɪvnəs/ | n. | 许可 |  | general
meatless |  |  | a. 无肉的, 无内容的 |  | general
womanly | /'wumәnli/ |  | a. 像女人的；有女子气质的 |  | general
placidly | /'plæsɪdlɪ/ | adv. | 平稳地, 平静地 |  | general
moodily | /'mu:dɪlɪ/ | adv. | 喜怒无常地；情绪多变地 |  | general
laughingly | /ˈlɑ:fɪŋli/ | adv. | 笑着地, 可笑地；笑哈哈 |  | general
indulgently | /ɪn'dʌldʒəntlɪ/ | adv. | 放纵地, 纵容地 |  | general
exegesis | /.eksi'dʒi:sis/ | n. | 注释, 解释 |  | general
snowbank | /'snәubæŋk/ | n. | 雪堤 |  | general
conditionally | /kәn'diʃәnәli/ | adv. | 有条件地 |  | general
arbitrariness | /'ɑ:bitrәrinis/ | n. | 任意, 武断, 专断, 反复无常 |  | economy
inductee | /.indʌk'ti:/ | n. | 应召入伍的士兵 |  | society
turpentine | /'tә:pәntain/ | n. | 松脂, 松木油, 松节油；vt. 涂以松节油 |  | general
otolaryngologist |  |  | 耳鼻喉科学家 |  | general
sullenly | /'sʌlənlɪ/ | adv. | 不高兴地, 绷着脸, 忧郁地 |  | general
reproachfully | /rɪ'prəʊtʃfəlɪ/ | adv. | 责备地 |  | general
longingly | /'lɒŋɪŋlɪ/ |  | a. 渴望地, 切望地 |  | general
haughtily | /'hɒ:tili/ | adv. | 傲慢地, 骄傲地 |  | general
generational |  |  | a. 生殖的, 世代的, 代与代之间的, 一 |  | general
fourpence | /'fɒ:pәns/ | n. | 四便士, 四便士银币 |  | general
uncooked | /.ʌn'kukt/ |  | a. 未煮过的 |  | general
spittle | /'spitl/ | n. | 唾沫, 吐出的泡沫；唾沫, 涎液 |  | culture
soundless | /'saundlis/ |  | a. 无声的, 完全静寂的, 静悄悄的 |  | general
quinine | /kwi'ni:n/ | n. | 奎宁；奎宁 |  | health
presentational | /,prezən'teiʃənәl,,pri:-/ |  | a. 表象的, 上演的, 演出的, 本身有意 |  | general
apprehensively |  | adv. | 担心地 |  | general
parolee | /pә,rәu'li:/ | n. | 假释犯；获假释者, 假释犯 |  | general
terra | /'terә/ |  | 土, 土地 |  | culture
horst | /'hɒ:st/ | n. | 地垒 |  | culture
manitou | /'mænitu:/ | n. | (北美土人的)神灵 |  | general
orzo | /'ɔ:zәu/ | n. | 米粒状面食 |  | general
reorientation | /'ri:,ɔrien'teiʃәn/ | n. | 再定位 |  | general
purplish | /'pә:pliʃ/ |  | a. 略带紫色的 |  | culture
isolationism | /aisә'leiʃәniz(ә)m/ | n. | 孤立主义 |  | economy
blackthorn | /'blækθɒ:n/ | n. | 黑刺李, 黑刺李木手杖 |  | general
hodgkin | /'hɔdʒkin/ | n. | 霍奇金（英国生理学家、生物物理学家, 曾获1；霍奇金（英国女化学家, 曾获1964年诺贝尔 |  | health
sodomize | /'sɔdәmaiz/ | v. | 对…鸡奸(或口交、兽奸等) |  | general
statehood | /'steithud/ | n. | 州的状态(或地位)；国家地位, 州的地位 |  | general
astrological | /.æstrә'lɒdʒikl/ |  | a. 占星学的, 占星术的 |  | general
leven |  | n. | 利文湖（英国苏格兰东部湖泊） |  | general
nonsexual | /'nɔn'seksjuәl/ |  | a. 无性别的, 无性的；无性的 |  | general
hardtop | /'hɑ:dtɔp/ | n. | 有金属顶盖的汽车；室内电影院 |  | culture
victimisation | /,viktimai'zeiʃən/ | n. | 牺牲；受害 |  | general
domiciliary | /.dɒmi'siliәri/ |  | a. 住处的, 住家的；家庭的, 家用的 |  | general
anglicanism | /'æŋ^likәnizəm/ | n. | 英国国教, 英国国教教义 |  | general
overhand | /'әuvәhænd/ |  | a. 超手的, 肩上的；adv. 举手过肩 |  | general
ming | /miŋ/ | n. | 明朝 |  | general
spritz | /sprits/ | n. | 喷,细的喷流；v. 喷 |  | environment
prewar | /'pri:'wɒ:/ |  | a. 战前的；adv. 在战前 |  | general
microfiche | /'maikrәufi:ʃ/ | n. | 缩微平片；缩微平片 |  | general
cosmological | /.kɒzmә'lɒdʒikl/ |  | a. 宇宙哲学的, 宇宙论的 |  | society
teleprompter | /'teli.prɒmptә/ | n. | 电子提词机 |  | technology
gunk | /^ʌŋk/ | n. | 污秽的东西 |  | general
transcendence | /træn'sendәns/ | n. | 超越, 卓越, 卓绝 |  | general
scathingly | /'skeɪðɪŋlɪ/ | adv. | 严厉地, 尖刻地 |  | general
cockeyed | /'kɒkaid/ |  | a. 斗鸡眼的, 歪的, 荒唐的 |  | general
lumbar | /'lʌmbә/ |  | a. 腰的, 腰部的；n. 腰动脉, 腰神经, 腰椎 |  | culture
stakeout | /'steikaut/ | n. | 监视 |  | society
aloha | /ә'lәuhә/ |  | interj. 喂, 再见 |  | general
spaciousness |  | n. | 宽广；宽敞 |  | general
retinal | /'rentinl/ |  | a. 视网膜的；视黄醛 |  | general
marchioness | /'mɑ:ʃәnis/ | n. | 侯爵夫人, 女侯爵 |  | general
historiography | /.histɒ:ri'ɒgrәfi/ | n. | 编史, 历史之编纂 |  | culture
anticlimactic | /'æntiklai'mæktik/ |  | a. 突降法的, 虎头蛇尾的 |  | general
jfk |  | abbr. | 约翰·菲茨杰拉德·肯尼迪（John Fitz |  | general
rainmaker | /'rein.meikә/ | n. | 唤雨巫师, 人工雨工作者 |  | economy
crispin | /'krispin/ | n. | 鞋匠 |  | culture
christological |  |  | a. 基督论的；基督性的 |  | general
prideful | /'praidful/ |  | a. 自傲的 |  | general
semantically |  |  | 语义地 |  | general
skybox |  |  | （体育场的）贵宾看台 |  | general
somberly | /'sɒmbəlɪ/ | adv. | 昏暗地, 阴沉地 |  | general
bibliographical | /.bibliә'græfikәl/ |  | a. 书目有关的, 书目的 |  | general
manson | /'mænsn/ |  | 曼森 |  | general
unknowing | /ʌn'nәuiŋ/ |  | a. 无知的, 不知道的, 没察觉的 |  | general
genitalia | /dʒeni'teiliә/ | n. | 生殖器, 外阴部；生殖器 |  | general
miter | /'maitә/ | n. | 僧帽, 主教冠, 斜接, 斜榫 |  | general
pilate | /'pailәt/ | n. | 彼拉多（古罗马犹太总督） |  | general
galactic | /gә'læktik/ |  | a. 乳汁的, 银河的, 极大的；乳液的, 催乳液的 |  | general
groundskeeper | /'ɡraundz,ki:pə/ | n. | (运动场、庄园、墓地等的)场地管理员 |  | work
perinatal | /,peri'neitl/ |  | 产期的 |  | general
soothingly | /su:ðɪŋlɪ/ | adv. | 抚慰地, 安慰地；镇痛地 |  | general
moated | /məʊt/ | n. | 护城河；壕沟 |  | general
trey | /trei/ | n. | 三点的牌 |  | general
staph | /stæf/ | n. | <口> = staphylococcus |  | general
outtake | /'autteik/ |  | 通气管, 气孔, 通风道, 烟道 |  | general
baptismal | /bæp'tizmәl/ |  | a. 洗礼的 |  | general
primly | /prɪmlɪ/ | adv. | 循规蹈矩地, 整洁地 |  | general
ophthalmic | /ɒf'θælmik/ |  | a. 眼睛的, 眼科的, 眼炎的, 眼用的；眼的 |  | general
multiracial | /.mʌlti'reiʃәl/ |  | a. 多民族的 |  | general
languidly | /'læŋɡwɪdlɪ/ | adv. | 疲倦地；阴沉地 |  | general
comfortingly | /'kʌmfətiŋli/ | adv. | 令人欣慰地；安慰地 |  | general
strep | /strep/ |  | a. 链球菌的 |  | general
nosy | /'nәuzi/ |  | a. 大鼻子的, 好管闲事的, 爱打听的；n. 大鼻者 |  | general
icily | /'aisili/ | adv. | 冷冰冰地 |  | general
haggis | /'hæ^is/ | n. | 羊杂碎香肚 |  | general
aeronautical | /,eәrә'nɔ:tikәl/ |  | a. 航空的, 航空学的；航空学的 |  | general
uninjured | /.ʌn'indʒәd/ |  | a. 未受损害的, 未受伤害的；未受损害的, 未受伤害的 |  | health
eggnog | /ˈegnɒg/ | n. | （—杯）蛋奶酒；蛋酒 |  | general
foodie | /ˈfu:di/ | n. | 美食家 |  | general
matriculation | /mә.trikju'leiʃәn/ | n. | 大学入学许可, 入学, 入学考试 |  | education
internationalisation | /ɪntɜ:næʃənəlaɪ'zeɪʃən/ | n. | 国际化 |  | general
intelligibility |  | n. | 可理解性, 明了；可识度, 可懂度, 清晰度 |  | culture
theocratic | /.θi:ә'krætik/ |  | a. 神权政治的 |  | general
linguine | /'liŋ^wi:ni:/ | n. | (意大利)扁面条 |  | general
gallbladder | /'gɒ:lblædә/ | n. | 胆囊；胆囊 |  | general
spiffy | /'spifi/ |  | a. 出色的, 显眼耀目的, 整洁的, 绝妙 |  | general
nassau | /'næsɔ:/ | n. | 拿索（巴哈马群岛之首都） |  | general
leatherhead | /'leðәhed/ | n. | 呆头, 更夫 |  | general
phytochemical | /,faitәu'kemikәl/ |  | a. 植物化学的 |  | general
blackwood | /'blækwud/ | n. | 黑檀 |  | general
wakefulness |  |  | 不眠症, 失眠 |  | general
palladian | /pә'leidjәn/ |  | a. （智慧女神）帕拉斯·雅典娜的；智慧的, 学问的 |  | culture
nitrous | /'naitrәs/ |  | a. 氮的, 含氮的, 硝石的；亚硝的 |  | general
lieu | /lu:/ | n. | 场所 |  | general
suspenseful | /sәs'pensful/ |  | a. 悬疑的, 令人紧张的 |  | general
gynecological | /,^ainikә'lɔdʒikəl,,dʒai-/ |  | a. 妇科学 |  | environment
cardiopulmonary | /,kɑ:diәj'pʌlmәnәri/ |  | a. 心肺的；心肺的 |  | culture
pease | /pi:z/ | n. | 豌豆 |  | general
gabon | /^a'b/ | n. | 加蓬（非洲中西部国家） |  | general
lupine | /'lu:pain/ |  | a. 狼的, 凶残的；羽扇豆属植物 |  | general
humus | /'hju:mәs/ | n. | 腐殖质；腐殖质 |  | culture
exogenous | /ek'sɒdʒinәs/ |  | a. 外生的；外原的, 外生的 |  | general
constitutive | /'kɔnstitju:tiv/ |  | a. 有设立权的, 有制定权的, 组成的；n. 要素 |  | general
overabundance | /'әuvәrә'bʌndәns/ | n. | 过于丰富(或充足), 过多 |  | general
pupa | /'pju:pә/ | n. | 蛹；蛹 |  | culture
woodsy | /'wudzi/ |  | a. 树林的 |  | general
extraversion | /,ekstrә'vә:ʃәn/ | n. | 外倾；外倾 |  | general
sardonically | /sɑ:'dɒnɪklɪ/ | adv. | 讽刺地, 冷嘲地 |  | general
cinque | /siŋk/ | n. | 五, 五点 |  | general
lassie | /'læsi/ | n. | 少女, 姑娘, 恋人 |  | general
cohesiveness |  |  | 粘结性 |  | general
scepter | /'septә/ | n. | 节杖, 王权；vt. 拥登王位, 授与王权 |  | general
manorial | /mә'nɒ:riәl/ |  | a. 庄园的 |  | general
manna | /'mænә/ | n. | 吗哪天赐食物, 精神食粮, 甘露；甘露, 木蜜 |  | health
neonatal | /,ni:әu'neitәl/ |  | a. 出生不满一个月的婴儿；新生的 |  | general
methodism | /'meθәdizm/ | n. | 循道宗教义, 严守规定法则, 拘泥形式；方法医学(古西腊和罗马) |  | society
culpability | /.kʌlpә'biliti/ | n. | 可责, 有罪性, 有过失 |  | general
samurai | /'sæmurai/ | n. | 武士 |  | general
