# word | phonetic | pos. | meaning | example | topic
lithosphere | /'liθәu.sfiә/ | n. | 岩石圈, 陆界；岩石圈 |  | culture
provident | /'prɒvidәnt/ |  | a. 有先见之明的, 有远虑的, 节俭的 |  | general
offhand | /'ɒf'hænd/ |  | a. 即时的, 即席的, 无准备的, 随便的；adv. 即时地, 即席地, 随便地 |  | general
heedless | /'hi:dlis/ |  | a. 不注意的, 不留心的, 不谨慎的 |  | economy
fuzz | /fʌz/ | n. | 细毛, 绒毛, 警察；vi. 作绒毛状飞散, 变成绒毛状 |  | general
brownish | /'brauniʃ/ |  | a. 呈褐色的 |  | culture
toothed | /tu:θt/ |  | a. 有齿的, 锯齿的, 锯齿状的 |  | general
soy | /sɒi/ | n. | 酱油, 大豆；大豆 |  | general
popcorn | /'pɒpkɒ:n/ | n. | 爆米花 |  | general
tableware | /'teiblwєә/ | n. | 餐具 |  | culture
ultrasonic | /.ʌltrә'sɒnik/ | n. | 超声波；a. 超音速的 |  | general
thermodynamics | /.θә:mәudai'næmiks/ | n. | 热力学；热力学 |  | general
pedagogic | /.pedә'gɒdʒik/ |  | a. 教育学的, 教授法的, 小学教师的 |  | education
axial | /'æksiәl/ |  | a. 轴的, 成轴的, 轴向的；轴的, 中轴的 |  | general
concurrence | /kәn'kʌrәns/ | n. | 赞同, 意见一致, 协力；协力, 同时发生, 一致 |  | general
cometary |  |  | a. 彗星的, 彗星似的 |  | general
cranial | /'kreiniәl/ |  | a. 头盖的, 颅侧的；颅的, 颅侧的 |  | general
idiomatic | /.idiә'mætik/ |  | a. 符合语言习惯的, 惯用的, 有许多习语 |  | culture
symbiosis | /.simbai'әusis/ | n. | 共栖, 共同生活；类聚效应 |  | environment
coffeepot | /'kɑfipɔt/ | n. | 咖啡壶, 小饭店, 午餐柜 |  | general
metallurgy | /'metәlә:dʒi/ | n. | 冶金学, 冶金术；冶金 |  | technology
eclecticism | /ek'lektisizm/ | n. | 折衷派, 折衷主义, 折衷说；折衷医学 |  | general
regenerative | /ri'dʒenәreitiv/ |  | a. 再生的, 更生的, 更新的；再生的 |  | general
coincident | /kәu'insidәnt/ |  | a. 一致的, 符合的, 同时发生的 |  | general
igneous | /'igniәs/ |  | a. 火的, 似火的, 火成的 |  | general
patroller |  |  | 巡警 |  | general
dully | /'dʌli/ | adv. | 钝地, 迟钝地, 不清楚地 |  | general
interstellar | /'intә'stelә/ |  | a. 星际的 |  | general
briny | /'braini/ |  | a. 盐水似的, 海水似的, 咸的；含盐度 |  | general
olfactory | /ɒl'fæktәri/ |  | a. 嗅觉的, 味道的；n. 嗅觉器官, 嗅神经 |  | general
centigrade | /'sentigreid/ |  | a. 百分度的, 摄氏的；百分度 |  | general
nonconformity | /.nɒnkәn'fɒ:miti/ | n. | 不适合, 不一致, 不信奉国教 |  | general
grouchy | /'grautʃi/ |  | a. 不高兴的, 不平的 |  | general
synchronous | /'siŋkrәnәs/ |  | a. 同时的, 同步的；同步 |  | technology
pedagogical | /pedә'^ɔdʒikәl/ |  | a. 教师的, 教学法的, 适宜于教师的 |  | education
hovercraft | /'hʌvәkræft/ | n. | 气垫船 |  | general
rawhide | /'rɒ:haid/ | n. | 生皮, 生皮鞭；vt. (用生皮鞭)抽打 |  | general
potash | /'pɔtæʃ/ |  | 钾碱；钾硷, 碳酸钾, 草硷 |  | environment
phonetics | /fәu'netiks/ | n. | 语音学, 语音体系, 表音拼法；语音学 |  | general
hypersensitive | /.haipә'sensitiv/ |  | a. 过敏的, 高灵敏度的；过敏的 |  | general
fealty | /'fi:әlti/ | n. | 忠诚, 忠贞, 忠实 |  | general
comity | /'kɒmiti/ | n. | 礼貌, 礼让；礼让, 友谊 |  | general
continence | /'kɒntinәns/ | n. | 自制；节制 |  | general
neoclassical | /'ni:әuklæsikәl/ |  | a. 新古典主义的 |  | general
mimetic | /mi'metik, mai-/ |  | a. 模仿的, 摹拟的, 好模仿的, 类似的；模拟的, 模仿的 |  | general
postoperative | /pәust'ɒpәrәtiv/ |  | a. 手术后的；手术后的 |  | health
normalization | /.nɒ:mәlai'zeiʃәn/ | n. | 常态化, 正常化, 正规化；归一化 |  | general
inelastic | /.ini'læstik/ |  | a. 无弹性的, 无弹力的, 无适应性的；无弹性的 |  | general
pollination | /.pɒli'neiʃәn/ | n. | 授粉；授粉, 传粉 |  | general
philology | /fi'lɒlәdʒi/ | n. | 语文学, 文献学 |  | culture
compaction | /kәm'pækʃәn/ |  | 压缩, 浓缩, 精简, 简缩 |  | general
dynamical | /dai'næmikәl/ |  | a. 动力的, 动态的, 动力学的, (褒)；n. 动力, 动态, 原动力 |  | general
epidermis | /.epi'dә:mis/ | n. | 表皮, (昆虫的)真皮；表皮 |  | general
coalescence | /.kәuә'lesns/ | n. | 联合, 结合, 合并；聚并 |  | culture
dialog | /'daiәlɒg/ | n. | 会话, 对话；对话 |  | general
photosphere | /'fәutәu.sfiә/ | n. | 光球, 发光球体；光球 |  | general
spoilage | /'spɒilidʒ/ | n. | 变质, 糟蹋, 损耗, 损坏；(原料,材料,产品)损坏 |  | general
prognostic | /prɒg'nɒstik/ |  | a. 预兆的, 预后的；n. 先兆, 预测 |  | general
solvable | /'sɒlvәbl/ |  | a. 可以解的, 可以解决的；溶解的, 可溶的 |  | general
bicameral | /bai'kæmәrәl/ |  | a. 两院制的, 有两个议院的；二室的, 两室的 |  | general
handedness | /'hændidnis/ |  | 左利或右利(偏于用一侧手工作) |  | work
celsius | /'selsiәs/ |  | a. 摄氏的 |  | general
photoelectric | /.fәutәui'lektrik/ |  | a. 光电的, 灯光摄影装置的；光电的 |  | general
dauntless | /'dɒ:ntlis/ |  | a. 不屈不挠的, 大胆的 |  | general
rapacious | /rә'peiʃәs/ |  | a. 强夺的, 贪欲的, 贪婪的 |  | general
phenomenally | /fi'nɔminәli/ | adv. | 现象, 从感官认识到, 非凡, 出众 |  | general
hackneyed | /'hæknid/ |  | a. 使用过于频繁的, 常见的, 陈腐的 |  | general
germane | /dʒә:'mein/ |  | a. 关系密切的, 有关的, 同样的, 恰当；锗烷 |  | general
fortuitously | /fɔ:'tju:ɪtəslɪ/ |  | 偶然地, 意外地 |  | general
homespun | /'hәjmspʌn/ |  | a. 家里纺的, 家里做的, 简朴的, 不做；n. 土布 |  | general
indolent | /'indәlәnt/ |  | a. 懒惰的, 无痛的；无痛的 |  | general
matchless | /'mætʃlis/ |  | a. 无敌的, 无比的 |  | general
garrulous | /'gærulәs/ |  | a. 饶舌的, 多嘴的, 喋喋不休的 |  | general
boastful | /'bәustful/ |  | a. 自夸的, 自负的, 喜夸耀的 |  | general
connivance | /kә'naivәns/ | n. | 默许, 纵容；纵容, 默许 |  | society
slavish | /'sleiviʃ/ |  | a. 奴隶的, 奴性的, 盲从的 |  | general
flaccid | /'flæksid/ |  | a. 软弱的, 没气力的, 无活力的；弛缓的 |  | general
avaricious | /.ævә'riʃәs/ |  | a. 贪婪的 |  | general
miserly | /'maizәli/ |  | a. 吝啬的, 贪婪的 |  | general
desirous | /di'zaiәrәs/ |  | a. 想要的, 想望的, 渴望的 |  | general
bashful | /'bæʃful/ |  | a. 害羞的 |  | general
penury | /'penjuri/ | n. | 贫困, 贫穷, 拮据, 馈乏；赤贫, 缺乏 |  | society
accordance | /ә'kɒ:dәns/ | n. | 一致, 和谐 |  | general
stodgy | /'stɒdʒi/ |  | a. 易吃饱的, 塞满的, 平凡的, 庸俗的 |  | general
adroit | /ә'drɒit/ |  | a. 灵巧的, 敏捷的, 聪明的 |  | general
unbridgeable | /.ʌn'bridʒәbl/ |  | a. 不能架桥的, 不能逾越的 |  | general
funereal | /fju:'niәriәl/ |  | a. 送葬的, 适合葬礼的, 悲哀的 |  | general
afterward | /'ɑ:ftәwәd/ | adv. | 然后, 后来 |  | general
tractable | /'træktәbl/ |  | a. 驯服的, 易于管教的；易加工的, 易处理的 |  | work
impudent | /'impjudәnt/ |  | a. 鲁莽的, 卑鄙的, 厚颜无耻的 |  | general
impermeable | /im'pә:miәbl/ |  | a. 不能渗透的, 不能通过的；不透性 |  | general
unbecoming | /.ʌnbi'kʌmiŋ/ |  | a. 不适合的, 不合体的, 不相配的 |  | society
perennially |  | adv. | 永久地 |  | general
vivacity | /vi'væsiti/ | n. | 快活, 活泼, 精神充沛 |  | health
spineless | /'spainlis/ |  | a. 无脊椎的, 没有骨气的, 懦弱的 |  | general
sanctimonious | /.sæŋkti'mәuniәs/ |  | a. 假装圣洁的, 假装虔诚的, 假装诚实的 |  | general
ignoble | /ig'nәubl/ |  | a. 卑贱的, 卑鄙的, 低级的 |  | general
stingy | /'stindʒi/ |  | a. 小气的, 吝啬的, 缺乏的, 有刺的 |  | general
herculean | /,hә:kju:'ljәn/ |  | a. 魁梧有力的 |  | general
avarice | /'ævәris/ | n. | 贪婪 |  | general
swiftness | /'swiftnis/ | n. | 迅速, 快 |  | general
gusty | /'gʌsti/ |  | a. 刮风的, 阵阵猛急的, 突发的, 津津 |  | general
fervid | /'fә:vid/ |  | a. 热的, 热心的 |  | general
barrenness |  | n. | 贫瘠, 不妊, 不孕, 不生育, 不毛, 荒；不育症, 不孕症 |  | general
illusive | /i'lju:siv/ |  | a. 幻影的, 错觉的, 迷惑人的 |  | general
insufferable | /in'sʌfәrәbl/ |  | a. 不可忍受的, 忍耐不住的 |  | general
careerism | /kә'riәrizm/ | n. | 野心, 追求名利 |  | work
pliant | /'plaiәnt/ |  | a. 易弯的, 柔韧的, 柔顺的 |  | general
neurology | /nju'rɒlәdʒi/ | n. | 神经病学；神经病学 |  | health
fruitlessly |  | adv. | 不结果实的, 徒劳的, 无益的, 无效的 |  | general
aglow | /ә'glәu/ |  | a. 发光的, 通红的；adv. 发光地 |  | general
extemporaneous | /ik.stempә'reiniәs/ |  | a. 无准备的, 即席的, 临时的；临时的, 当时的 |  | general
flighty | /'flaiti/ |  | a. 轻浮的, 轻狂的, 心情浮动的 |  | general
ferrous | /'ferәs/ |  | a. 铁的, 含铁的, 亚铁的；亚铁的 |  | general
venturesome | /'ventʃәsәm/ |  | a. 冒险的, 好冒险的, 不顾一切的 |  | general
peerless | /'piәlis/ |  | a. 无比的, 出类的, 无双的 |  | general
levity | /'levәti/ | n. | 轻率, 轻浮, 不稳定 |  | general
commodious | /kә'mәudjәs/ |  | a. 宽敞的, 方便的 |  | general
lank | /læŋk/ |  | a. 瘦的, 细长的, 长而柔软的 |  | general
subspecies | /'sʌb.spi:ʃi:z/ | n. | 亚种 |  | environment
ragtime | /'rægtaim/ | n. | 雷格泰姆旋律, 散拍乐；a. 滑稽的 |  | culture
slothful | /'slәuθful/ |  | a. 怠惰的, 懒惰的 |  | general
bombastic | /bɒm'bæstik/ |  | a. 夸大的, 夸夸其谈的 |  | general
irreverence | /i'revәrәns/ | n. | 不敬, 非礼, 不敬行为 |  | health
ennui | /'ɒnwi:/ | n. | 倦怠, 厌倦；厌倦 |  | general
tardy | /'tɑ:di/ |  | a. 慢的, 迟到的, 勉强的, 拖拉的 |  | general
effrontery | /i'frʌntәri/ | n. | 厚颜无耻 |  | general
credulous | /'kredʒulәs/ |  | a. 轻信的, 易受骗的 |  | general
subtractive | /sәb'træktiv/ |  | a. 减去的, 有负号的, 负的 |  | general
swampy | /'swɒmpi/ |  | a. 沼泽的, 沼泽多的, 湿地的, 松软的 |  | general
dispensable | /dis'pensәbl/ |  | a. 不是必要的, 可有可无的 |  | general
estimable | /'estimәbl/ |  | a. 可尊敬的, 可估计的 |  | general
expeditious | /.ekspi'diʃәs/ |  | a. 迅速的, 敏捷的 |  | work
unobstructed | /'ʌnәb'strʌktid/ |  | a. 没有障碍的, 没有阻挡的 |  | general
touchable | /'tʌtʃәbl/ |  | a. 可触的, 可使感动的 |  | general
apostasy | /ә'pɒstәsi/ | n. | 叛教, 变节, 脱党；叛教, 背教, 脱党 |  | culture
torpid | /'tɒ:pid/ |  | a. 麻痹的, 迟缓的, 迟钝的, 蛰伏的；迟钝的, 不活泼的, 缓慢的 |  | general
corpulent | /'kɒ:pjulәnt/ |  | a. 肥大的, 肥胖的；肥胖的 |  | general
lyrically |  | adv. | 抒情地；诗意地 |  | general
gainful | /'geinful/ |  | a. 有利益的, 唯利是图的 |  | general
conjectural | /kәn'dʒektʃәrәl/ |  | a. 推测的, 好推测的 |  | general
guileless | /'gailis/ |  | a. 不狡猾的, 诚实的 |  | general
cigaret | /,si^ә'ret,'si-/ | n. | 纸烟, 卷烟, 香烟 |  | general
gymnastic | /dʒim'næstik/ |  | a. 体操的, 体育的 |  | general
symbology | /sim'bɒlәdʒi/ | n. | 符号学, 符号使用 |  | general
polygonal | /pә'ligәnәl/ |  | a. 多角形的, 多边形的；多边形的, 多角形的 |  | general
regimentation | /.redʒimen'teiʃәn/ | n. | 团的编制, 系统化, 严格控制；组成, 编组, 统制 |  | technology
prototypical |  |  | 原型的 |  | general
facilitation | /fә,sili'teiʃәn/ |  | 容易化, 助长, 接通 |  | general
sentimentalism | /,senti'mentəlizəm/ | n. | 感伤主义 |  | health
irresolute | /i'rezәlu:t/ |  | a. 无决断的, 优柔寡断的, 踌躇不定的 |  | general
platitudinous | /.plæti'tju:dinәs/ |  | a. 平凡的, 陈腐的, 老生常谈的 |  | general
impious | /'impiәs/ |  | a. 无信仰的, 不敬神的, 不虔诚的, 不 |  | general
fruitfulness |  | n. | 丰收, 丰硕；多实, 肥沃 |  | health
undistorted | /'ʌndis'tɔ:tid/ |  | a. 未失真的, 不偏激的 |  | general
retentive | /ri'tentiv/ |  | a. 保持的, 有保持力的, 记性好的 |  | general
insightful | /'in.saitful/ |  | a. 有深刻见解的, 富有洞察力的 |  | general
goodby | /.ɡud'bai/ | int. | 再见（等于goodbye） |  | general
frugality | /fru:'gæliti/ | n. | 节俭, 俭省 |  | environment
clamorous | /'klæmәrәs/ |  | a. 吵闹的 |  | general
chary | /'tʃєәri/ |  | a. 细心的, 吝啬的, 谨慎的 |  | general
atomization | /.ætәumai'zeiʃәn/ | n. | 粉碎, 以原子弹轰炸, 雾化；原子化 |  | culture
confederacy | /kәn'fedәrәsi/ | n. | 联盟, 邦联；共谋, 违法的结社, 联盟 |  | general
vaporization | /.veipәrai'zeiʃәn/ | n. | 蒸发, 汽化；汽化 |  | general
photosensitive | /.fәutәu'sensitiv/ |  | a. 感光性的, 对光敏感的；对光敏感的, 感光的 |  | general
revitalization | /ri:,vaitəlai'zeiʃən;-li'z-/ |  | 复苏, 回生, 复新 |  | general
parapsychology | /.pærәsai'kɒlәdʒi/ | n. | 心灵学, 通灵学；心灵学, 心灵心理学(一门唯心的学科) |  | education
avocational |  |  | 业余爱好的；副业的 |  | general
congruity | /kәŋ'gru:iti/ | n. | 适合, 一致, 共同点 |  | general
covetous | /'kʌvitәs/ |  | a. 贪婪的, 妄想的 |  | general
preeminent | /pri:'eminәnt/ |  | a. 优秀的, 超群的, 卓越的 |  | general
immodesty | /i'mɔdisti/ |  | 无礼 |  | general
satiric | /sә'tirik/ |  | a. 讽刺的, 挖苦的 |  | general
ductile | /'dʌktail/ |  | a. 易延展的, 韧性的, 易教导的；延伸性的 |  | general
unseasonably | /ˌʌn'siːzənəbli/ | adv. | 反季节地；不合季节地 |  | general
chromosphere | /'krәumәsfiә/ | n. | 太阳的色球层；色球 |  | general
theater | /'θiәtә/ | n. | 戏院, 电影院, 剧场, 全体观众, 戏剧 |  | culture
rustproof | /'rʌstpru:f/ |  | a. 不锈的；不锈, 防锈的 |  | general
dolorous | /'dɒlәrәs/ |  | a. 忧伤的, 悲痛的 |  | general
arboreal | /ɑ:'bәuriәl/ |  | a. 树的, 栖于树木的；树的, 树上生活的 |  | general
reformism | /ri'fɒ:mizm/ | n. | 改良主义 |  | general
ferromagnetic | /.ferәumæg'netik/ |  | a. 铁磁体；磁性铁的 |  | general
iconographic | /ai.kɔnә'ɡræfik/ |  | a. 图像材料的；肖像学的 |  | general
surpassingly | /sə'pɑ:sɪŋlɪ/ | adv. | 卓越地, 超群地 |  | general
desalination | /di:,sæli'neiʃәn/ |  | 脱盐；脱盐, 去盐 |  | general
profitless | /'prɒfitlis/ |  | a. 无利的, 无益的 |  | general
tardiness | /'tɑ:dinis/ | n. | 慢, 缓慢, 迟延 |  | general
provincialism | /prә'vinʃәlizm/ | n. | 乡下习气, 方言, 地方风俗 |  | general
irreproachable | /.iri'prәutʃәbl/ |  | a. 不可非难的, 无缺点的, 无过失的 |  | general
dexterous | /'dekstәrәs/ |  | a. 灵巧的, 惯用右手的 |  | general
deodorizer | /di:'әudәraizә/ | n. | 除臭剂, 防臭剂；除臭剂 |  | general
