# word | phonetic | pos. | meaning | example | topic
unrelated |  |  | 无关的 |  | general
unofficial | /.ʌnә'fiʃәl/ |  | a. 非正式的, 非官方的；非法定的 |  | general
theoretically | /.θi:ә'retikli/ | adv. | 理论上, 理论地 |  | general
inconsistent | /.inkәn'sistәnt/ |  | a. 不一致的, 易变的, 前后矛盾的；矛盾的, 不一致的, 不协调的 |  | general
visually | /'vizjjәli/ | adv. | 看, 视力, 视觉, 可见, 凭视力, 看到 |  | general
luxembourg | /'luksәm,bә:^/ | n. | 卢森堡公国；卢森堡（卢森堡公国首都） |  | economy
momentarily | /'mәumәntәrili/ | adv. | 暂时地, 立刻, 随时地 |  | general
introductory | /.intrә'dʌktәri/ |  | a. 介绍的, 引导的, 开端的 |  | general
underway | /'ʌndә'wei/ |  | a. 航行中的；进行中的 |  | general
environmentally |  | adv. | 有关环境方面 |  | environment
additionally |  | adv. | 另外, 此外 |  | general
frankfurt | /'fræŋkfәt/ | n. | 牛肉香肠, 猪牛肉混合香肠 |  | economy
attributable | /ә'tribju:tәbl/ |  | a. 可归于...的 |  | general
cheerfully | /'tʃiәfuli/ | adv. | 高高兴兴地 |  | general
governmental | /.gʌvәn'mentl/ |  | a. 政治的, 统治上的, 政府的；政府的, 统治的, 政治上的 |  | society
explanatory | /ik'splænәtәri/ |  | a. 说明的, 解释的, 辩明的；解释的, 说明的 |  | general
mustache | /'mʌstæʃ/ | n. | 髭, 胡子 |  | general
perth | /pә:θ/ | n. | 珀斯, 佩斯（澳大利亚城市） |  | society
rosemary | /'rәuzmәri/ | n. | 迷迭香；迷迭香 |  | general
hockey | /'hɒki/ | n. | 冰球, 曲棍球 |  | general
hierarchical | /,haiә'rɑ:kikәl/ |  | 分级的, 分层的, 层次的 |  | general
furiously |  | adv. | 狂暴地；猛烈地 |  | general
lenin | /'lenin/ | n. | 列宁（俄国无产阶级革命领袖） |  | general
barton | /'bɑ:tn/ | n. | 庄园内的农场, 农家庭院 |  | general
stalin | /'stɑ:lin/ | n. | 斯大林（前苏联领导人） |  | culture
baxter | /'bækstә/ | n. | 巴克斯特（公司名称） |  | economy
developmental | /di.velәp'mentәl/ |  | a. 发展的, 进化的, 启发的；发育的 |  | general
syntax | /'sintæks/ | n. | 句法, 语法, 句子构造；句法, 语法 |  | general
grimly | /'grimli/ | adv. | 严格地, 冷酷地, 可怕地 |  | general
bourgeoisie | /.buәʒwɑ:'zi:/ | n. | 中产阶级, 资产阶级 |  | society
coldly | /'kәuldli/ | adv. | 冷淡地 |  | general
modular | /'mɒdjulә/ |  | a. 模数的, 有标准组件的；积木式的 |  | general
kemp | /kemp/ | n. | 冠军 |  | general
greenpeace | /'gri:npi:s/ | n. | 绿色和平组织（保护动物不遭捕猎等） |  | environment
bacterial | /bæk'tiәriәl/ |  | a. 细菌的；细菌的, 杆菌的 |  | general
lithuania | /,liθju(:)'einjә, -niә/ | n. | 立陶宛 |  | general
impatiently |  | adv. | 不耐烦, 忍受不了, 急躁, 急欲, 急切 |  | general
kgb |  | abbr. | 克格勃, 苏联国家安全委员会（Komitet |  | society
amino | /'æminәu/ |  | a. 氨基的；氨基 |  | general
cor | /kɔ:(r)/ |  | 心脏, 心 |  | general
liquidity | /li'kwiditi/ | n. | 流动性, 流畅；流动性 |  | general
kohl | /kәul/ | n. | 化妆墨, 眼影粉 |  | general
innings |  | n. | 局, 回合, 盘, 一局, 当权期间 |  | general
centerpiece | /'sentәpi:s/ | n. | 中心装饰品；放在餐桌中央的摆饰 |  | general
lebanese | /,lebә'ni:z/ |  | a. 黎巴嫩的 |  | general
kylie | /'kaili/ | n. | 回飞棒的一种 |  | general
mungo | /'mʌŋgәu/ | n. | 短弹毛 |  | general
unused | /.ʌn'ju:zd/ |  | a. 不用的, 不在使用的, 从未用过的 |  | general
unduly | /.ʌn'dju:li/ | adv. | 不适当地, 过度地；过分的, 过度的, 不正当的 |  | general
professionally |  | adv. | 专业地；内行地 |  | work
skilful | /'skilful/ |  | a. 灵巧的, 熟练的, 制作精巧的 |  | general
understandably |  | adv. | 可懂, 可了解, 可理解 |  | general
confidently |  | adv. | 自信地；安心地 |  | general
vastly | /'vɑ:stli/ | adv. | 广大地, 许多, 巨大 |  | general
unnecessarily | /ʌn'nesisәrili/ | adv. | 不必要地, 多余地 |  | general
sizeable | /'saizәbl/ |  | a. 相当大的, 可观的 |  | general
intolerable | /in'tɒlәrәbl/ |  | a. 无法忍受的, 难耐的 |  | general
powerless | /'pauәlis/ |  | a. 无力的, 无权的, 无效能的 |  | general
generously |  | adv. | 宽大地；慷慨地 |  | general
unnatural | /.ʌn'næʃәrәl/ |  | a. 不自然的, 反常的, 不近人情的；不自然的, 违背人道, 邪恶的 |  | environment
demeanor | /di'mi:nә/ |  | 行为, 品行, 举止 |  | general
patiently | /'peiʃәntli/ | adv. | 耐心地；有毅力地 |  | general
tidal | /'taidl/ |  | a. 潮汐的, 受潮汐影响的 |  | general
cheaply | /'tʃipli/ | adv. | 便宜地 |  | general
voluntarily | /.vɒlәn'terili/ | adv. | 自愿地, 以自由意志 |  | general
usefulness | /'ju:sfjlnis/ | n. | 有用, 有益；有用, 有用性 |  | general
unseen | /.ʌn'si:n/ |  | a. 未被看见的, 看不见的 |  | general
traumatic | /trɒ:'mætik/ |  | a. 外伤的, 创伤的；创伤的, 外伤的 |  | general
uniquely |  | adv. | 独特地；珍奇地 |  | general
thankfully | /'θæŋkfulli/ | adv. | 感激地；感谢地 |  | general
oppressive | /ә'presiv/ |  | a. 压制性的, 压迫的, 沉重的 |  | general
wonderfully |  | adv. | 惊人地；极好地 |  | general
pleasantly |  | adv. | 和蔼地, 亲切地；友好地 |  | general
openness | /'әupәnnis/ | n. | 公开；宽阔 |  | general
childish | /'tʃaildiʃ/ |  | a. 天真的, 孩子气的 |  | general
jerry | /'dʒeri/ |  | a. 草率的, 偷工减料的；偷工减料的, 工程粗略的 |  | technology
collectively |  | adv. | 集合, 聚合性, 共同, 集体主义, 集团 |  | general
focal | /'fәukl/ |  | a. 焦点的, 在焦点上的；病灶的, 灶的 |  | general
implicitly |  | adv. | 含蓄, 不言明, 暗示, 暗指, 内含, 固；隐含地 |  | general
illegally |  |  | 非法地, 不合法地, 违法地 |  | general
thirds |  | n. | 归寡妇所得的亡夫遗产的三分之一；（商品的）三等品 |  | culture
aristocratic | /æristә'krætik/ |  | a. 贵族的, 主张贵族统绐的, 有贵族气派 |  | general
unanimously |  | adv. | 全体一致, 无异议, 一致同意 |  | general
cilantro | /si'lɑ:ntrәj/ | n. | 芫荽叶 |  | general
lawful | /'lɒ:ful/ |  | a. 法律许可的, 守法的, 合法的；合法的, 法定的 |  | society
statistically |  | adv. | 用统计的方法, 统计学上 |  | general
stylish | /'stailiʃ/ |  | a. 现代风格的, 流行的, 潇洒的 |  | general
mystical | /'mistikl/ |  | a. 神秘的, 奥秘的 |  | general
hurriedly |  | adv. | 仓促地；匆忙地 |  | general
feasibility | /.fi:zә'biliti/ | n. | 可行性, 可能性；可行性 |  | general
unskilled | /.ʌn'skild/ |  | a. 无(特殊)技能的, 不熟练的, 拙劣的 |  | work
cookery | /'kukәri/ | n. | 烹调法, 烹调术 |  | general
impatience | /im'peiʃәns/ | n. | 性急, 难耐, 焦急, 急躁 |  | general
unpublished | /.ʌn'pʌbliʃt/ |  | a. 未公开出版的；未发表过的 |  | general
philips | /'filips/ | n. | 飞利浦（荷兰公司名） |  | economy
neutrality | /nju:'træliti/ | n. | 中立, 不偏不倚, 中间状态；中性 |  | culture
howe | /hau/ | n. | 洞；洼地 |  | general
ballpark | /'bɔl.pɑ:k/ | n. | （美）棒球场；活动领域 |  | general
warner | /'wɔ:nә/ | n. | 警告者, 告诫者, 预告者；报警器 |  | general
otto | /'ɒtәu/ | n. | 玫瑰油 |  | general
mph |  |  | 每小时...英里, 哩/时 |  | general
bach | /bætʃ/ | n. | 单身汉；vi. 过独身生活 |  | work
penis | /'pi:nis/ | n. | 阳物, 阴茎；阴茎 |  | general
liberalism | /'libәrәlizm/ | n. | 自由主义 |  | economy
budgetary | /'bʌdʒitәri/ |  | a. 预算的；预算的 |  | general
devolution | /.devә'lu:ʃәn/ | n. | 相传, 转让, 委付；退化, 异化 |  | society
stylistic | /stai'listik/ |  | a. 格式上的, 体裁上的 |  | culture
briskly | /'briskli/ | adv. | 活泼地, 精神勃勃地 |  | health
collaborative | /kә'læbәreitiv/ |  | a. 合作的, 协作的 |  | work
communicative | /kә'mju:nikeitiv/ |  | a. 健谈的, 爱说话的, 交际的 |  | general
stiffly | /'stifli/ | adv. | 呆板地, 顽固地, 僵硬地 |  | general
reich | /raik/ | n. | 德国；德意志帝国 |  | general
neural | /'njuәrәl/ |  | a. 神经的, 神经系统的, 神经中枢的；神经的 |  | technology
wearily | /'wiәrili/ | adv. | 疲倦地, 厌倦地, 无聊地 |  | general
activation | /ækti'veiʃәn/ | n. | 活化, 激活；活化 |  | work
methodological | /.meθәdә'lɒdʒikl/ |  | a. 方法的 |  | general
boswell | /'bɔzwәl/ | n. | 为好友或当代名人作传者 |  | general
benedict | /'benidikt/ | n. | 新婚男人 |  | general
siemens | /'si:mәnz/ | n. | 西门子（财富500强公司之一, 总部所在地德 |  | technology
unbeaten | /.ʌn'bi:tn/ |  | a. 未曾挨打的, 未搅打的, 未走过的 |  | general
renal | /'ri:nl/ |  | a. 肾脏的, 肾的；肾的 |  | general
plutonium | /plu:'tәuniәm/ | n. | 钚；钚Pu |  | general
basal | /'beisl/ |  | a. 基础的, 基本的；基底的, 基础的 |  | general
faecal | /'fi:kәl/ |  | a. 排泄物的, 渣滓的 |  | general
proximal | /'prɒksiml/ |  | a. 最接近的, 近中心的, 近身体中央的；近接的, 邻近的 |  | general
topaz | /'tәupæz/ | n. | 黄晶, 黄玉, 南美蜂岛；黄玉 |  | culture
oesophagus | /i:'sɔfә^әs/ | n. | 食道；食管 |  | general
pancreatic | /.pæŋkri'ætik/ |  | a. 胰腺的；胰的 |  | general
gastrointestinal | /,^æstrәuin'testәnl/ |  | a. 胃肠的, 肠胃的；胃肠的 |  | general
endoscopic | /en,dɔs'kɔpik/ |  | a. 内窥镜的, 用内窥镜检查的 |  | general
sensibly | /'sensәbli/ | adv. | 容易感知地；聪明地 |  | general
peacefully |  | adv. | 平静地 |  | general
grossly | /'grәusli/ | adv. | 非常, 很, 粗 |  | general
unfinished | /.ʌn'finiʃt/ |  | a. 未完成的 |  | general
forcibly | /'fɒ:sәbli/ | adv. | 强制地, 用力地 |  | general
acutely | /ә'kju:tli/ | adv. | 尖锐地, 剧烈地 |  | general
unwise | /'ʌn'waiz/ |  | a. 愚蠢的, 欠考虑的, 不明智的, 轻率 |  | general
realistically | /riә'listikli/ | adv. | 写实地, 逼真地, 现实地 |  | general
marginally |  | adv. | 记在页边, 有旁注, 边缘, 边沿地区, 边 |  | general
usefully |  | adv. | 有效地, 有用地 |  | general
drastically | /'dræstikәli/ | adv. | 激烈地, 彻底地 |  | general
favourably |  | adv. | 顺利地；有利地 |  | general
hugely | /'hju:dʒli/ | adv. | 巨大地, 非常地 |  | general
hindsight | /'haindsait/ | n. | 枪的表尺, 事后聪明 |  | general
forceful | /'fɒ:sful/ |  | a. 有力的, 强烈的, 有说服力的 |  | general
remotely |  | adv. | 极小地, 极细微地 |  | general
wisely | /'waizli/ | adv. | 聪明地, 精明地 |  | general
unthinkable | /.ʌn'θiŋkәbl/ |  | a. 不能考虑的, 不能想像的, 想像不到的 |  | general
powerfully |  | adv. | 强有力, 强大, 效力大, 有权威, 权力大 |  | general
conceivable | /kәn'si:vәbl/ |  | a. 想得到的, 可想象的, 可理解的 |  | general
amazingly |  | adv. | 令人惊讶地；惊奇地 |  | general
intimately | /'intimitli/ | adv. | 亲切地, 亲密地, 个人性地 |  | general
unto | /'ʌntu, 'ʌntә, 'ʌntu:/ | prep. | 到, 对, 直到 |  | general
unease | /.ʌn'i:z/ | n. | 不安 |  | general
richly | /'ritʃli/ | adv. | 富裕地, 丰富地, 充分地 |  | general
visibly | /'vizәbli/ | adv. | 看得见地, 明显地, 明白地 |  | general
recognisable |  |  | a. 可辨认的；可认识的 |  | general
afield | /ә'fi:ld/ | adv. | 离开着, 偏离着, 在战场上 |  | general
subtly | /'sʌtli/ | adv. | 敏锐地, 巧妙地, 精细地 |  | general
