# word | phonetic | pos. | meaning | example | topic
sales |  |  | a. 销售的；销售 |  | economy
outrageous | /aut'reidʒәs/ |  | a. 暴虐的, 极无礼的, 可恶的 |  | general
indifferent | /in'difәrәnt/ |  | a. 漠不关心的, 无重要性的, 中立的；中性的, 无作用的, 无亲和力的, 淡漠的 |  | culture
tentative | /'tentәtiv/ | n. | 试验；a. 试验性的, 暂时的 |  | general
pointless | /'pɒintlis/ |  | a. 不尖的, 钝的, 不得要领的 |  | general
ruthless | /'ru:θlis/ |  | a. 无情的, 残忍的, 毫不留情的, 彻底；无情的, 残忍的 |  | general
thoughtful | /'θɒ:tful/ |  | a. 深思的, 体贴的 |  | general
fertile | /'fә:tail/ |  | a. 可繁殖的, 肥沃的, 生产多的；能生育的 |  | work
frantic | /'fræntik/ |  | a. 狂乱的, 疯狂的 |  | general
authoritative | /ɒ:'θɒritәtiv/ |  | a. 权威性的, 官方的, 命令式的；官方的, 当局的, 权威的 |  | general
responsive | /ri'spɒnsiv/ |  | a. 回答的, 应答的, 易感应的 |  | general
arrogant | /'ærәɡәnt/ |  | a. 自大的, 傲慢的 |  | general
wretched | /'retʃid/ |  | a. 可怜的, 不幸的, 卑鄙的 |  | general
muscular | /'mʌskjulә/ |  | a. 强壮的, 肌肉发达的, 有力的；肌的 |  | general
overt | /'әuvә:t/ |  | a. 明显的, 公然的, 蓄意的；明显的, 公开的 |  | general
simultaneous | /.simәl'teinjәs/ |  | a. 同时的, 同时发生的；同时的 |  | general
picturesque | /.piktʃә'resk/ |  | a. 生动的, 如画的, 独特的, 别致的 |  | general
optimum | /'ɒptimәm/ | n. | 最适条件, 最佳效果；a. 最优的, 最适宜的 |  | general
gorgeous | /'gɒ:dʒәs/ |  | a. 华丽的, 灿烂的 |  | general
practicable | /'præktikәbl/ |  | a. 可实行的, 可做的, 可用的 |  | general
flu | /flu:/ | n. | 流感, 流行性感冒 |  | health
campus | /'kæmpәs/ | n. | 校园, 大学生活 |  | education
petroleum | /pә'trәuliәm/ | n. | 石油；石油 |  | environment
physiological | /.fiziә'lɒdʒikl/ |  | a. 生理学的, 生理学上的, 生理机能的；生理学的, 生理的 |  | general
equitable | /'ekwitәbl/ |  | a. 公平的, 公正的；公平的, 公正的, 平衡法的 |  | culture
qualitative | /'kwɒlitәtiv/ |  | a. 性质的, 质的, 定性的 |  | general
tedious | /'ti:diәs/ |  | a. 沉闷的, 冗长乏味的 |  | health
lucrative | /'lu:krәtiv/ |  | a. 有利益的, 获利的, 合算的 |  | general
economical | /.i:kә'nɒmikәl/ |  | a. 节俭的, 经济的, 合算的；经济的, 节约的 |  | environment
backward | /'bækwәd/ | adv. | 向后地, 相反地；a. 向后的, 相反的 |  | general
extravagant | /ik'strævgәnt/ |  | a. 奢侈的, 挥霍无度的, 浪费的 |  | environment
abrupt | /ә'brʌpt/ |  | a. 突然的, 唐突的, 陡峭的, 不连贯的 |  | general
reckless | /'reklis/ |  | a. 不介意的, 大意的, 鲁莽的, 不顾后；不注意的, 粗心大意的, 鲁莽的 |  | general
undue | /.ʌn'dju:/ |  | a. 不适当的, 过度的, 未到期的；未到(支付)期的 |  | general
solemn | /'sɒlәm/ |  | a. 严肃的, 郑重的, 庄严的 |  | general
informative | /in'fɒ:mәtiv/ |  | a. 提供消息的, 见闻广博的 |  | general
negligible | /'neglidʒәbl/ |  | a. 可以忽略的, 不足取的, 无用的；可不计的, 可忽视的 |  | general
eminent | /'eminәnt/ |  | a. 显赫的, 杰出的, 有名的 |  | general
obscene | /ɒb'si:n/ |  | a. 淫秽的, 猥亵的, 讨人厌的, 可憎的；猥亵的, 海洋的, 污秽的 |  | general
slippery | /'slipәri/ |  | a. 滑的, 光滑的, 靠不住的, 圆滑的；狡猾的, 不可靠的, 不安定的 |  | general
inaccurate | /in'ækjurit/ |  | a. 错误的, 不准确的；不精确 |  | general
amidst | /ә'midst/ | prep. | 在...当中 |  | general
paramount | /'pærәmaunt/ | n. | 首长, 最高当局；a. 最重要的, 最高的, 至上的 |  | general
turbulent | /'tә:bjulәnt/ |  | a. 狂暴的, 骚乱的, 紊乱的 |  | general
unanimous | /ju:'nænimәs/ |  | a. 意见一致的, 无异议的 |  | general
versatile | /'vә:sәtail/ |  | a. 多才多艺的, 万用的, 万向的 |  | general
hereditary | /hi'reditәri/ |  | a. 世袭的, 遗传的；遗传的 |  | general
prevalent | /'prevәlәnt/ |  | a. 普遍的, 流行的 |  | general
exquisite | /'ekskwizit/ |  | a. 精致的, 细腻的, 敏锐的 |  | general
nutrition | /nju:'triʃәn/ | n. | 营养, 营养学；营养, 营养品 |  | health
indicative | /in'dikәtiv/ |  | a. 指示的, 象征的, 表示...的；指标的 |  | general
anyhow | /'enihau/ | adv. | 无论如何, 至少 |  | general
homogeneous | /.hәumә'dʒi:niәs/ |  | a. 同种的, 同质的, 齐性的；同种的, 纯一的, 同质的, 均匀的 |  | general
online |  |  | 联机 |  | technology
utmost | /'ʌtmәust/ | n. | 极限, 最大限度, 极度；a. 极度的, 最远的 |  | general
hectic | /'hektik/ |  | a. 脸上发红, 发热的, 潮热的, 肺病的；n. 脸红, 潮热病人 |  | health
haste | /heist/ | n. | 匆忙, 急忙 |  | general
meagre | /'mi:^ә(r)/ |  | a. 瘦的, 不毛的, 贫乏的, 贫弱的 |  | general
traveling | /'trævliŋ/ |  | a. 旅行的, 旅行用的, 移动的 |  | general
ludicrous | /'lu:dikrәs/ |  | a. 可笑的, 滑稽的, 荒唐的 |  | general
exceedingly | /ik'si:diŋli/ | adv. | 极端地, 极度地, 非常 |  | general
stubborn | /'stʌbәn/ |  | a. 顽固的, 不听话的, 执拗的, 棘手的 |  | general
ingenious | /in'dʒi:njәs/ |  | a. 灵敏的, 精巧的, 聪明的 |  | general
precarious | /pri'kєәriәs/ |  | a. 不稳定的, 不安的, 危险的 |  | general
gigantic | /dʒai'gæntik/ |  | a. 巨人般的, 巨大的 |  | general
agreeable | /ә'griәbl/ |  | a. 令人愉快的, 同意的；佳适的 |  | general
relentless | /ri'lentlis/ |  | a. 无情的, 冷酷的, 残酷的 |  | general
buoyant | /'bɒiәnt/ |  | a. 有浮力的, 心情愉快的；降而复升的, 保持高价的, 遂之而升的 |  | culture
periodically | /,piәri'ɔdikəli/ | adv. | 定期, 循环, 间歇, 周期, 定期刊行 |  | general
ominous | /'ɒminәs/ |  | a. 恶兆的, 不吉利的, 预兆的 |  | general
mundane | /'mʌndein/ |  | a. 现世的, 世俗的, 宇宙的 |  | culture
fluent | /'flu:әnt/ |  | a. 流利的, 流畅的 |  | general
stationary | /'steiʃ(ә)nәri/ |  | a. 不动的, 静止的, 不变的, 固定的；定常, 定态, 固定的 |  | general
vengeance | /'vendʒәns/ | n. | 复仇, 报仇；报仇, 复仇 |  | general
credible | /'kredәbl/ |  | a. 可信的, 可靠的；可信的, 可靠的 |  | general
timely | /'taili/ |  | a. 及时的, 适时的；adv. 及时地 |  | general
hysterical | /his'terikәl/ |  | a. 歇斯底里的, 异常兴奋的；癔病的, 歇斯底里的 |  | general
pertinent | /'pә:tinәnt/ |  | a. 相关的, 中肯的, 切题的；恰当的, 有关的 |  | general
defiance | /di'faiәns/ | n. | 蔑视, 挑战；挑战, 藐视, 违抗 |  | general
vulgar | /'vʌlgә/ |  | a. 粗俗的, 庸俗的, 普通的, 通俗的；庸俗的, 卑下的, 粗俗的 |  | culture
gracious | /'greiʃәs/ |  | a. 亲切的, 慈善的 |  | general
permissible | /pә'misәbl/ |  | a. 可允许的, 可容许程度的；容许, 允许 |  | general
insane | /in'sein/ |  | a. 患精神病的, 极愚蠢的；神经错乱的 |  | health
extinct | /ik'stiŋkt/ |  | a. 熄灭的, 灭绝的, 耗尽的；消灭了的, 过时的, 无效的 |  | general
baseball | /'beisbɒ:l/ | n. | 棒球；棒球系统 |  | technology
prolific | /prәu'lifik/ |  | a. 有生殖力的, 多产的, 丰富的；多育的, 多产的, 繁殖的 |  | general
oblivious | /ә'bliviәs/ |  | a. 遗忘的, 健忘的, 不知不觉的；忘却的, 健忘的, 不在意的 |  | general
stationery | /'steiʃәnәri/ | n. | 文具, 信纸；文具 |  | general
trinity | /'triniti/ | n. | 三人一组, 三个一组的东西, 三位一体 |  | general
archaic | /ɑ:'keiik/ |  | a. 古体的, 过时的, 古老的, 古代的；原始的, 古代的 |  | general
unconditional | /.ʌnkәn'diʃәnl/ |  | a. 无条件的, 无限制的, 绝对的；无条件的, 无保留的 |  | general
astronomy | /ә'strɒnәmi/ | n. | 天文学 |  | culture
antarctic | /ænt'ɑ:ktik/ |  | a. 南极的, 南极地带的；n. 南极地区 |  | general
temperate | /'tempәrәt/ |  | a. 温和的, 适度的, 有节制的, 温带的 |  | environment
saline | /'seilain/ |  | a. 盐的, 苦涩的, 由碱金属(或含镁之盐；n. 盐湖, 盐田, 碱盐泻药, 生理盐水 |  | general
conscientious | /.kɒnʃi'enʃәs/ |  | a. 有责任心的, 负责的, 本着良心的；凭良心做的, 有道德感的 |  | general
fraught | /frɒ:t/ |  | a. 含有...的, 伴着...的, 充满. |  | general
innumerable | /i'nju:mәrәbl/ |  | a. 无数的, 数不清的 |  | general
concerted | /kәn'sә:tid/ |  | a. 商定的, 协定的, 一致的；一致的, 协力的, 共同的 |  | general
conducive | /kәn'dju:siv/ |  | a. 有益于...的, 有助于...的, 助 |  | culture
unhealthy | /.ʌn'helθi/ |  | a. 不健康的 |  | health
strenuous | /'strenjuәs/ |  | a. 奋发的, 费劲的, 艰苦的 |  | general
meticulous | /mә'tikjulәs/ |  | a. 一丝不苟的, 精确的, 过细的 |  | general
cumbersome | /'kʌmbәsәm/ |  | a. 笨重的, 麻烦的, 累赘的 |  | general
stressful |  |  | a. 着重, 强调, 重读, 使受应力 |  | general
sluggish | /'slʌgiʃ/ |  | a. 偷懒的, 懒惰的, 迟钝的；萧条的, 呆滞的 |  | general
ferocious | /fә'rәuʃәs/ |  | a. 残忍的, 凶猛的, 可怕的 |  | general
dormant | /'dɒ:mәnt/ |  | a. 睡眠状态的, 静止的；休眠的, 不活动的, 休止的 |  | general
sporadic | /spәu'rædik/ |  | a. 偶尔发生的, 零星发生的, 分散的；散在的, 散发的 |  | general
intermittent | /.intә'mitәnt/ |  | a. 间歇的, 断断续续的；间歇的 |  | culture
concise | /kәn'sais/ |  | a. 简洁的, 简明的 |  | general
phenomenal | /fi'nɒminәl/ |  | a. 现象的, 能知觉的, 异常的, 显著的 |  | general
eloquent | /'elәkwәnt/ |  | a. 雄辩的, 有口才的, 有说服力的 |  | general
haphazard | /hæp'hæzәd/ | n. | 偶然性, 偶然事件；a. 无计划的, 偶然的, 随便的 |  | general
outspoken | /.aut'spәukәn/ |  | a. 直言无讳的, 坦率的, 坦白无隐的 |  | general
momentous | /mәu'mentәs/ |  | a. 重大的, 重要的 |  | general
audible | /'ɒ:dәbl/ |  | a. 听得见的；可闻的 |  | general
pompous | /'pɒmpәs/ |  | a. 爱炫耀的, 虚夸的, 盛大的 |  | general
endurance | /in'djuәrәns/ | n. | 忍耐, 忍耐力, 耐性；持九性 |  | general
monstrous | /'mɒnstrәs/ |  | a. 巨大的, 畸形的, 怪异的；巨大的, 异形的, 畸形的:荒诞的 |  | general
rampant | /'ræmpәnt/ |  | a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑 |  | general
majestic | /mә'dʒestik/ |  | a. 宏伟的, 庄严的 |  | general
sanitary | /'sænitәri/ |  | a. 卫生的；n. 公共厕所 |  | society
obligatory | /ɒb'ligәtәri/ |  | a. 义务的, 必须的, 强制性的；有拘束的, 强制的, 必须的 |  | general
inclusive | /in'klu:siv/ |  | a. 包含的, 包括的 |  | general
indignant | /in'dignәnt/ |  | a. 愤怒的, 愤慨的 |  | general
tacit | /'tæsit/ |  | a. 沉默寡言的, 不苟言笑的, 缄默的 |  | general
attentive | /ә'tentiv/ |  | a. 注意的, 留心的 |  | general
inert | /i'nә:t/ |  | a. 惰性的, 迟钝的, 无活力的, 呆滞的；惰性的, 无作用的, 无效的 |  | general
fidelity | /fi'deliti/ | n. | 忠实, 诚实, 忠诚, 保真度；逼真度 |  | technology
hilarious | /hi'lєәriәs/ |  | a. 喜不自禁的, 欢闹的, 引人发笑的 |  | general
patriotism | /'peitriәtizm/ | n. | 爱国心, 爱国精神, 爱国主义 |  | health
henceforth | /hens'fɒ:θ/ | adv. | 自此以后, 今后 |  | general
indefinite | /in'definit/ |  | a. 模糊的, 不确定的, 无限的；不确定的, 无限制的 |  | general
geographic | /,dʒiә'^ræfik/ |  | a. 地理(学)的, 地区(性)的 |  | general
irritable | /'iritәbl/ |  | a. 易怒的, 急躁的；应激性的, 过敏的 |  | general
sanity | /'sæniti/ | n. | 神智健全, 头脑清楚, 通情达理；精神健全 |  | health
chronological | /, krɔnә'lɔdʒikәl/ |  | a. 年代学的, 按时间顺序的, 按照年月顺；编年的, 按年月日顺序的 |  | general
atlas | /'ætlәs/ | n. | 地图集, 图表集；自动测试和负载分析系统 |  | technology
garbage | /'gɑ:bidʒ/ | n. | 垃圾, 废物；无用信息 |  | environment
luminous | /'lu:minәs/ |  | a. 发光的, 明亮的；发光的 |  | general
nausea | /'nɒ:ʃjә/ | n. | 反胃, 晕船, 恶心, 厌恶；恶心 |  | general
chic | /ʃi:k/ | n. | 漂亮, 别致的款式；a. 漂亮的, 别致的 |  | general
maize | /meiz/ | n. | 玉蜀黍, 黄色；a. 玉蜀黍色的, 黄色的 |  | general
prospectus | /prәs'pektәs/ | n. | 创办计划书, (内容)说明书, 内容简介；(募债)说明书 |  | economy
unilateral | /.ju:ni'lætәrәl/ |  | a. 单方面的, 单边的, 片面的；单侧的, 一侧的 |  | culture
lunar | /'lu:nә/ |  | a. 阴历的, 月的, 微亮的(指光)；月的, 银的 |  | general
childcare | /'tʃaildkεә/ | n. | 儿童照管；儿童保育 |  | general
phonetic | /fәu'netik/ |  | a. 语音的, 语音学的, 表示语音的, 语；语音的 |  | general
gaily | /'geili/ | adv. | 华丽地, 欢乐地 |  | general
healthcare | /'helθkεә/ | n. | 医疗保健；卫生保健 |  | health
calorie | /'kælәri/ | n. | 卡路里（热量单位） |  | health
seismic | /'saizmik/ |  | a. 地震的 |  | culture
superfluous | /sju'pә:fluәs/ |  | a. 多余的, 过剩的 |  | general
arduous | /'ɑ:djuәs/ |  | a. 费力的, 努力的, 险峻的 |  | health
paralysis | /pә'rælisis/ | n. | 麻痹, 停顿, 瘫痪；麻痹, 瘫痪 |  | culture
monotonous | /mә'nɒtәnәs/ |  | a. 单调的, 无变化的 |  | general
lax | /læks/ |  | a. 松的, 不严格的, 腹泻的, 松弛的；n. 腹泻, 松元音 |  | general
eyesight | /'aisait/ | n. | 视力, 目力 |  | general
painstaking | /'peinzteikiŋ/ | n. | 辛苦, 苦心, 工夫；a. 辛苦的, 勤勉的, 小心的 |  | general
tolerable | /'tɒlәrәbl/ |  | a. 可容忍的, 可以的 |  | general
stagnant | /'stægnәnt/ |  | a. 不流动的, 停滞的, 不景气的, 萧条；萧条的 |  | general
colossal | /kә'lɒsәl/ |  | a. 巨大的, 巨像似的 |  | general
ardent | /'ɑ:dnt/ |  | a. 热心的, 激动的, 燃烧般的；灼热的 |  | general
remorse | /ri'mɒ:s/ | n. | 懊悔, 良心不安, 自责, 同情；悔恨, 自责, 懊悔 |  | general
considerate | /kәn'sidәrit/ |  | a. 体贴的, 体谅的, 考虑周到的 |  | general
outlying | /'aut.laiiŋ/ |  | a. 在外的, 边远的, 偏僻的, 题外的 |  | general
fervent | /'fә:vәnt/ |  | a. 热的, 炎热的, 热心的 |  | general
resilience | /ri'ziliәns/ | n. | 弹回, 有弹力, 恢复力；回弹 |  | general
posterity | /pɒ'steriti/ | n. | 子孙, 后裔；子嗣, 后代, 后裔 |  | general
fruition | /fru:'iʃәn/ | n. | 成就, 实现, 结果实 |  | general
noxious | /'nɒkʃәs/ |  | a. 有害的, 有毒的, 使道德败坏的；有害的, 有毒的 |  | health
unconvincing | /ʌnkәn'vinsiŋ/ |  | a. 不足以令人相信的 |  | general
obedient | /ә'bi:djәnt/ |  | a. 服从的, 顺从的, 孝顺的；服从的, 顺从的, 忠顺的 |  | general
laborious | /lә'bɒ:riәs/ |  | a. 艰苦的, 费劲的, 勤劳的 |  | general
inept | /in'ept/ |  | a. 不适当的, 不理智的, 笨拙的；不称职者, 无能的, 不符要求的 |  | general
nourishment | /'nә:riʃmәnt/ | n. | 滋养品, 养料, 营养；营养, 营养品 |  | health
wholesome | /'hәulsәm/ |  | a. 有益健康的, 合乎卫生的, 健全的 |  | health
incongruous | /in'kɒŋgruәs/ |  | a. 不协调的, 不一致的, 不合适的 |  | general
sociable | /'sәuʃәbl/ |  | a. 好交际的, 社交的, 过社会生活的；n. 联谊会 |  | society
lucid | /'lu:sid/ |  | a. 明晰的, 清澈的, 透明的, 透彻的；清明的, 透明的, 清醒的 |  | general
instantaneous | /.instәn'teinjәs/ |  | a. 即时的, 瞬间的, 猝发的；瞬时的 |  | general
vigilant | /'vidʒilәnt/ |  | a. 警觉的, 警戒的, 警惕的；警醒的, 警戒的, 注意的 |  | general
trustworthy | /'trʌst.wә:ði/ |  | a. 可信赖的；可信任的, 可靠的, 可信赖的 |  | general
allergic | /ә'lә:dʒik/ |  | a. 对...过敏的, 极反感的；变应性的 |  | general
melancholy | /'melәnkɒli/ | n. | 忧郁, 悲哀, 愁思；a. 忧郁的, 使人悲伤的, 愁思的 |  | general
righteous | /'raitʃәs/ |  | a. 公正的, 正义的, 正直的；正直的, 正当的, 正义的 |  | general
pungent | /'pʌndʒәnt/ |  | a. 刺激性的, 尖刻的, 苦痛的；冲味的, 刺激味的 |  | general
pessimism | /'pesimizm/ | n. | 悲观, 悲观情绪, 悲观主义；悲观主义 |  | general
irrespective | /.iri'spektiv/ |  | a. 不顾的, 无关的, 没关系的 |  | general
avalanche | /'ævәlɑ:ntʃ/ | n. | 雪崩, 山崩, 大量；vi. 崩塌 |  | general
upkeep | /'ʌpki:p/ | n. | 维持, 维修费；维修费, 养护费, 保养 |  | general
virtuous | /'vә:tʃuәs/ |  | a. 品德高尚的, 公正的, 贞洁的, 有效 |  | general
prodigious | /prәu'didʒәs/ |  | a. 庞大的, 惊人的, 异常的 |  | general
pretentious | /pri'tenʃәs/ |  | a. 自负的, 自命不凡的, 夸耀的 |  | general
erroneous | /i'rәuniәs/ |  | a. 错误的, 不正确的；错误的, 不正确的 |  | general
