# word | phonetic | pos. | meaning | example | topic
radon | /'reidɒn/ | n. | 氡；氡Rn |  | health
dictatorial | /diktә'tɒ:riәl/ |  | a. 独裁者的, 独裁的, 独断的 |  | general
ably | /'eibli/ | adv. | 能干地, 精明强干地 |  | general
unsuspected | /'ʌnsәs'pektid/ |  | a. 不受怀疑的, 无嫌疑的, 未知的, 意；未被怀疑的, 无嫌疑的 |  | general
spotty | /'spɒti/ |  | a. 有斑点的, 有污点的, 质量不一的 |  | general
spiteful | /'spaitful/ |  | a. 怀恨的, 怀有恶意的, 恶意的 |  | general
perversely | /pə'vɜ:slɪ/ | adv. | 倔强地 |  | general
gleefully | /'ɡli:fəlɪ/ | adv. | 高兴地 |  | general
modus | /'mәudәs/ |  | 假言的；方式, 方法 |  | culture
unintended | /'ʌnin'tendid/ |  | a. 不是存心的, 无心的, 非故意的 |  | general
unconditionally | /ˌʌnkən'dɪʃənəlɪ/ | adv. | 无条件地 |  | general
quietness | /'kwaiәtnis/ | n. | 平静, 寂静 |  | general
northerly | /'nɒ:ðәli/ |  | a. 北方的, 向北的, 来自北方的；adv. 向北, 自北来 |  | general
beachfront | /'bi:tʃ,frʌnt/ | n. | 海滨地区；a. 靠海滨的 |  | general
informality | /.infɒ:'mæliti/ | n. | 非正式 |  | general
citrus | /'sitrәs/ | n. | 柑橘属果树 |  | general
cavernous | /'kævәnәs/ |  | a. 似巨穴的；空洞的 |  | general
granola | /ɡrә'nәulә/ | n. | （早餐营养食品）格兰诺拉燕麦卷 |  | health
indebtedness | /in'detidnis/ |  | 负债, 债务 |  | culture
appreciably | /ә'pri:ʃiәbli/ | adv. | 可估计地, 相当可观 |  | general
discordant | /dis'kɒ:dәnt/ |  | a. 不调和的, 不和的 |  | general
dryness | /'drainis/ | n. | 干燥, 干燥无味, 冷淡 |  | general
thru | /θru:/ | adv. | 穿越, 从头至尾；prep. 穿过 |  | general
inconsiderable | /.inkәn'sidәrәbl/ |  | a. 不足取的, 不值得考虑的 |  | general
cunningly |  | adv. | 巧妙地, 狡猾地 |  | general
untroubled | /'ʌn'trʌbld/ |  | a. 不烦恼的, 无忧虑的, 未被扰乱的 |  | society
unforgivable | /'ʌnfә'^ivәbl/ |  | a. 不可原谅的, 不可饶恕的 |  | general
teatime | /'ti:taim/ | n. | 下午茶时间 |  | general
indistinct | /.indis'tiŋkt/ |  | a. 不清楚的, 朦胧的, 难以清楚辨认的 |  | general
hysterically | /hɪ'sterɪklɪ/ | adv. | 歇斯底里地 |  | general
guesswork | /'geswә:k/ | n. | 臆测, 猜测, 凭猜测所作之工作 |  | work
deservedly | /di'zә:vidli/ | adv. | 应得报酬地, 理所当然地 |  | general
unsatisfied | /'ʌn'sætisfaid/ |  | a. 未得到满足的, 不满意的 |  | general
unrepresentative |  |  | a. 非代表性的, 不典型的 |  | general
stereotypical | /,steriə'tipikl/ |  | a. 典型的；带有成见的 |  | general
soundness | /'saundnis/ | n. | 完全坚固, 稳固, 公正；无疵 |  | general
promiscuous | /prә'miskjuәs/ |  | a. 杂乱的, 混杂的, 混淆的 |  | general
profusely | /prәj'fju:sli/ | adv. | 极其丰富地, 大量地 |  | general
plausibly | /ˌplɔ:zəblɪ/ | adv. | 似真地 |  | general
tarpon | /'tɑ:pɒn/ | n. | 大西洋大海鲢 |  | general
outstandingly | /aʊtˈstændɪŋli/ | adv. | 醒目地, 显著地 |  | general
masterly | /'mɑ:stәli/ |  | a. 巧妙的, 熟练的；adv. 巧妙地, 熟练地 |  | general
firehouse | /'faiәhaus/ | n. | 消防站 |  | general
napa |  | abbr. | 全国演员协会（National Associ；美国国家汽车配件协会（National Au |  | general
aimlessly | /'eimlisli/ | adv. | 漫无目的地, 无目标地 |  | general
unresponsive | /.ʌnri'spɒnsiv/ |  | a. 反应迟钝的, 感受性迟钝的, 不回答的 |  | general
degeneration | /di.dʒenә'reiʃәn/ | n. | 退化, 恶化, 堕落；简并性 |  | general
combative | /kәm'bætiv/ |  | a. 好斗的, 好事的 |  | society
paternalistic | /pә.tә:nә'listik/ |  | a. 家长式作风的 |  | general
newsprint | /'nju:zprint/ | n. | 新闻纸；新闻纸 |  | general
materialistic | /mә.tiәriә'listik/ |  | a. 唯物论的, 唯物主义的 |  | general
coolness | /'ku:lnis/ | n. | 冷, 凉爽, 冷静 |  | general
backstage | /'bæksteidʒ/ | adv. | 在后台, 向后台 |  | general
promiscuity | /.prɒmi'skju:iti/ | n. | 混乱, 杂乱, 放荡 |  | general
abdication | /.æbdi'keiʃәn/ | n. | 逊位, 弃权, 辞职 |  | general
argumentative | /.ɑ:gju'mentәtiv/ |  | a. 好辩的, 引起争论的, 论证式的；争辩的, 辩论的, 有争议的 |  | general
unobtainable | /.ʌnәb'teinәbl/ |  | a. 难获得的 |  | general
unenviable | /.ʌn'enviәbl/ |  | a. 不值得羡慕的, 尴尬的, 不会引起嫉妒 |  | general
southerly | /'sʌðәli/ |  | a. 向南的, 来自南方的；n. 南风 |  | general
saleable | /'seilәbl/ |  | a. 适销的, 价格适当的, 畅销的 |  | economy
rancour | /'ræŋkә/ | n. | 敌意, 深仇 |  | general
frighteningly | /'fraɪtnɪŋlɪ/ | adv. | 吓人地；令人恐惧地, 引起突然惊恐地 |  | general
ecotourism | /ˈi:kəʊtʊərɪzəm/ | n. | 生态旅游 |  | environment
untried | /.ʌn'traid/ |  | a. 未试过的, 未经实验的, 无经验的；未经审讯的, 未审理的, 未经考验的 |  | general
unobtrusively | /,ʌnəb'tru:sivli/ | adv. | 不显眼地；不容易看到地 |  | general
uncharacteristically | /,ʌn,kæriktə'ristikli/ | adv. | 不典型地；非同寻常地 |  | general
studiously |  | adv. | 故意地；好学地 |  | general
selfless | /'selflis/ |  | a. 不顾自己的, 无私的 |  | society
obtrusive | /әb'tru:siv/ |  | a. 强迫人的, 冒失的, 莽撞的, 伸出的 |  | general
humanly | /'hju:mәnli/ | adv. | 从人的角度, 充满人性地, 在人力所及范围 |  | general
excellently |  | adv. | 极好地；优异地 |  | general
diametrically | /,daiә'metrikәli/ | adv. | 完全地, 直径方面, 正好相反地, 截然地 |  | general
despondency | /di'spɒndәnsi/ | n. | 失去勇气, 失望 |  | culture
deliciously |  | adv. | 美味地, 芬香地 |  | general
conceptually | /kәn'septʃuәli/ | adv. | 概念地 |  | general
blameless | /'bleimlis/ |  | a. 无可责难的, 无过失的, 清白的 |  | general
yuppie | /'jʌpi/ | n. | （美）雅皮士（属于中上阶层的年轻专业人士） |  | work
unsung | /.ʌn'sʌŋ/ |  | a. 未被唱颂的, 未赞颂的 |  | general
clunky | /ˈklʌŋki/ |  | a. 粗笨的；笨重的 |  | general
steamy | /'sti:mi/ |  | a. 蒸汽的, 充满蒸汽的 |  | general
nationalistic | /.næʃәnә'listik/ |  | a. 国家主义的 |  | culture
metamorphosis | /.metә'mɒ:fәsis/ | n. | 蜕变, 变质, 变形；变态, 变形, 变质 |  | general
lawless | /'lɒ:lis/ |  | a. 非法的, 违法的 |  | society
atop | /ә'tɒp/ | adv. | 在顶上；prep. 在...的顶上 |  | general
angelic | /æn'dʒelik/ |  | a. 天使的, 天使般的 |  | general
alertness | /ә'lә:tnis/ | n. | 警戒, 机敏 |  | general
ungrateful | /.ʌn'greitful/ |  | a. 忘恩负义的, 使人不愉快的, 徒劳的 |  | general
dermatology | /.dә:mә'tɒlәdʒi/ | n. | 皮肤医学, 皮肤病学；皮肤病学 |  | health
unacknowledged | /.ʌnәk'nɒlidʒd/ |  | a. 未被承认的, 未被公认的, 未答复的 |  | general
shrewdly |  | adv. | 精明干练地；机灵地 |  | general
cortisol | /'kɔ:tisɔl/ | n. | 皮质醇, 氢化可的松；皮质醇 |  | economy
problematical |  |  | a. 成问题的, 未定的, 疑难的, 有疑问 |  | health
irresistibly | /ˌɪrɪ'zɪstəblɪ/ | adv. | 无法抵抗地, 不能自持地；极为诱惑人地 |  | general
gallic | /'gælik/ |  | a. 瘿的, 镓的 |  | general
fourthly | /'fɔ:θli/ | adv. | 第四(列举条目等时用) |  | general
dampness |  |  | 湿度, 潮湿 |  | general
letdown | /'letdaun/ | n. | 减低, 减退, 松弛, 失望；调漆 |  | general
unfaithful | /.ʌn'feiθful/ |  | a. 不诚实的, 不忠实的；不正当的, 不信实的, 不正确的 |  | general
mitzvah | /mits'vɑ:/ | n. | 戒律, 善行 |  | society
unwashed | /.ʌn'wɒʃt/ |  | a. 未洗的, 不洁的, 平民百姓的 |  | general
undemanding | /ʌndi'mɑ:ndiŋ/ |  | a. 要求不高的；容易的 |  | general
powerlessness | /'paʊələsnəs/ | n. | 无力, 无能为力 |  | general
soapy | /'sәupi/ |  | a. 涂着肥皂的, 谄媚的, 圆滑的 |  | general
unthinking | /.ʌn'θiŋkiŋ/ |  | a. 欠考虑的, 不留心的, 无思考能力的 |  | health
rhythmically |  | adv. | 有节奏地 |  | general
preteen | /'pri:'ti:n/ |  | a. 青春期前的；n. 青春期前的孩子 |  | general
masterful | /'mɑ:stәful/ |  | a. 傲慢的, 主人派头的, 熟练的 |  | general
inventiveness |  | n. | 发明创造能力, 创造性 |  | general
defensible | /di'fensәbl/ |  | a. 可防卫的, 可防护的, 可辩护的；可辩护的, 能防卫的 |  | general
wastebasket | /'weist.bæskit/ | n. | 废纸篓；废纸篓 |  | general
cheerfulness | /'tʃiәfulnis/ | n. | 高兴, 快活 |  | general
bottomless | /'bɔtәmlis/ |  | a. 无底的, 无限的, 深不可测的, 没有 |  | general
unrecorded |  |  | 未记帐的, 未入帐的 |  | general
unobserved | /'ʌnәb'sә:vd/ |  | a. 没有观察到的, 没有受到注意的, 未被；未被遵守的, 未被注意的, 没有观察到的 |  | general
tumultuous | /tju:'mʌltʃuәs/ |  | a. 吵闹的, 纷乱的, 骚乱的；喧嚣的, 骚乱的, 凶猛的 |  | general
thunderous | /'θʌndәrәs/ |  | a. 将要打雷的, 像打雷的 |  | general
threefold | /'θri:fәuld/ |  | a. 三倍的, 三重的；adv. 三倍地, 三重地 |  | general
shalt | /ʃælt;ʃәlt;ʃilt/ |  | vbl.shall的第二人称单数现在式 |  | general
quantifiable | /'kwɒntifaiәbl/ |  | a. 可以计量的 |  | general
perspex | /'pә:speks/ | n. | 透明塑胶；(商)聚甲基丙烯酸甲酯 |  | general
believable | /bi'li:vәbl/ |  | a. 可信的 |  | general
ado | /ә'du:/ | n. | 纷扰, 忙乱, 麻烦 |  | general
bioterrorism | /ˌbaɪəʊ'terəˌrɪzəm/ | n. | 生物恐怖活动 |  | general
stranglehold | /'stræŋglhәuld/ | n. | 勒颈, 压制自由, 抑制, 束缚 |  | general
religiously |  | adv. | 虔诚而经常地, 笃诚地 |  | culture
encouragingly | /ɪn'kʌrɪdʒɪŋlɪ/ | adv. | 鼓励地, 勉励人地 |  | general
distantly |  | adv. | 远, 远隔, 久远, 疏远, 稀疏, 不紧密 |  | general
compulsorily | /kәm'pʌlsәrili/ | adv. | 强迫地, 强制地 |  | general
approvingly | /әp'ru:viŋli/ | adv. | 赞许地, 满意地 |  | general
anarchic | /æ'nɑ:kik/ |  | a. 无政府的, 无政府主义的, 无规律的；反常的 |  | society
womanhood | /'wjmәnhjd/ | n. | 女子成年身分, 女子成年期, 女子成年资格 |  | general
mightily | /'maitili/ | adv. | 强烈地, 非常地 |  | general
sulfide | /'sʌlfaid/ | n. | 硫化物；硫化物 |  | general
adulation | /.ædju'leiʃәn/ | n. | 谄媚, 过分的称赞 |  | general
stupidly | /'stju:pidli/ | adv. | 愚蠢地 |  | general
haired |  |  | a. 有毛发的, 长着...头发的 |  | general
bullish | /'buliʃ/ |  | a. 似公牛的, 看涨的, 上扬的；行情看涨的 |  | economy
handmade | /'hændmeid/ |  | a. 手工的, 手制的 |  | general
unopposed | /'ʌnә'pәuzd/ |  | 无反对的, 无对手的 |  | general
pursuance | /pә'sju:әns/ | n. | 追赶, 实行, 从事；追求, 追赶, 追踪 |  | general
woefully |  | adv. | 悲伤地；不幸地 |  | general
pedantic | /pi'dæntik/ |  | a. 卖弄学问的, 学究式的, 假装学者的 |  | general
indisputable | /.indis'pju:tәbl/ |  | a. 无争论之余地的 |  | general
foretaste | /fɒ:'teist/ | v. | 预尝, 先试；n. 先尝, 预示 |  | general
unknowingly | /ʌn'nәjiŋli/ | adv. | 无意中, 非存心地, 不知不觉地 |  | general
naively |  | adv. | 无邪地；天真烂漫地 |  | general
grotesquely | /ɡrəʊ'tesklɪ/ | adv. | 奇异地, 荒诞地 |  | general
resiliency | /ri'ziliәnsi. -jәnsi/ | n. | 弹性；跳回 |  | general
ebullient | /i'bʌljәnt/ |  | a. 沸腾的, 热情的, 热情洋溢的 |  | general
otitis | /әu'taitis/ | n. | 耳炎；耳炎 |  | general
demonstrable | /'demәnstrәbl/ |  | a. 可论证的 |  | general
warlike | /'wɒ:laik/ |  | a. 准备战斗的, 好战的, 尚武的, 勇于；好战的, 军事的 |  | general
stunningly | /'stʌnɪŋlɪ/ | adv. | 绝妙地；极好地 |  | general
flatbed | /'flæt.bed/ | n. | 有平台可装货的卡车 |  | general
obsessively |  | adv. | 过分地；着迷地, 着魔似地 |  | general
honoree | /,ɔnә'ri:/ | n. | 领奖人, 主宾 |  | general
nativity | /nә'tiviti/ | n. | 出生, 出生的情况, 诞生, 出生地, 耶酥 |  | general
irresponsibility | /'iri,spɔnsә'bilәti/ | n. | 无责任, 不承担责任的行为；不负责任, 无责任, 不承担责任 |  | general
indescribable | /.indi'skraibәbl/ |  | a. 不能用语言表达的, 不可名状的, 莫名 |  | culture
impassable | /im'pɑ:sәbl/ |  | a. 不能通行的, 不可逾越的；不通的, 不透的 |  | general
detachable | /di'tætʃәbl/ |  | a. 可分离的 |  | general
derisory | /di'raisәri/ |  | a. 值得嘲笑的, 可笑的 |  | general
axiomatic | /.æksiәu'mætik/ |  | a. 自明的 |  | general
gangsta | /ˈgæŋstə/ | n. | 冈斯特说唱乐（歌词常涉及犯罪和暴力） |  | society
unannounced | /.ʌnә'naunst/ |  | a. 未经宣布的 |  | general
unaccountably | /ˌʌnəˈkaʊntəbli/ | adv. | 不能说明地, 不可解释地；无责任地 |  | general
drywall | /'draɪwɔ:l/ |  | 干式墙 |  | culture
rightness | /'raitnis/ | n. | 廉正, 正直, 公正, 正确性 |  | general
incomprehension | /in,kɔmpri'henʃәn/ | n. | 缺乏理解, 不了解 |  | general
greenish | /'gri:niʃ/ |  | a. 呈绿色的 |  | general
