# word | phonetic | pos. | meaning | example | topic
buckboard | /'bʌkbɒ:d/ | n. | 平板马车 |  | general
chinoiserie | /,ʃi:nwɑ:z(ә)'ri:/ | n. | 服装、装饰、建筑物的中国艺术风格, 具有中国 |  | work
sociologically | /ˌsəʊsɪə'lɒdʒɪklɪ/ | adv. | 在社会学上地 |  | society
overproduction | /.әuvәprә'dʌkʃәn/ | n. | 生产过剩；生产过剩 |  | work
helmeted | /ˈhelmɪtɪd/ |  | 头盔状的；戴头盔 |  | general
unsportsmanlike | /'ʌn'spɔ:tsmәnlaik/ |  | a. 没有运动家道德的, 没有运动家风格的 |  | general
gooey | /'gu:i/ |  | a. 胶粘的, 自作多情的；n. 胶粘物, 性格软弱的人 |  | general
fidgety | /'fidʒiti/ |  | a. 不安的, 不沉着的, 烦燥的, 难以取 |  | general
fatherless | /'fɑ:ðәlis/ |  | a. 无父的；没有父亲的, 生父不明的 |  | general
streptococcus | /.streptәu'kɒkәs/ | n. | 链球菌；链球菌属 |  | general
boorish | /'buriʃ/ |  | a. 粗野的, 粗鄙的 |  | general
bloodbath | /'blʌdbɑ:θ/ | n. | 大屠杀 |  | general
avowedly | /ә'vaudli/ | adv. | 公然地 |  | general
amusingly | /ə'mju:zɪŋlɪ/ | adv. | 有趣地, 好笑地 |  | general
adulterous | /ә'dʌltәrәs/ |  | a. 通奸的；通奸的 |  | general
sepulcher | /'seplkә/ | n. | 坟墓；vt. 埋葬 |  | general
cruciferous |  |  | a. 戴有十字架的, 饰有十字架的, 十字花 |  | general
untidily | /ʌn'taɪdɪlɪ/ | adv. | 不整洁地；不修边幅地 |  | general
truthfulness |  | n. | 真实；正当 |  | general
traditionalism | /trә'diʃәnlizm/ | n. | 传统主义 |  | education
stripy | /'straipi/ |  | a. 有条纹的, 有斑纹的 |  | general
sluggishly |  | adv. | 懒怠地；慢吞吞地 |  | general
inappropriateness | /,inə'pəupriitnis/ | n. | 不相称；不适合 |  | culture
hollowness | /'hɒlәunis/ | n. | 凹窝, 空旷, 空虚 |  | general
hairless | /'hєәlis/ |  | a. 无毛的 |  | general
embarkation | /.embɑ:'keiʃәn/ | n. | 乘坐, 运载, 从事；装载(货物) |  | general
unflavored |  |  | 天然原味的；无味的 |  | general
crafter |  | n. | 工匠；气泡孔 |  | culture
chimerical | /kai'miәrikәl/ |  | a. 空想的 |  | general
undereducated | /,ʌndәr'edju:keitid, -dʒj-/ |  | a. 受教育不足的,未受良好教育的 |  | education
rounders |  | n. | 圆场棒球 |  | general
blowback | /'blәubæk/ |  | 图象放大, 再放大；反吹 |  | general
recuperation | /ri.kju:pә'reiʃәn/ | n. | 恢复；复原, 恢复 |  | general
neighbourliness |  | n. | 睦邻, 亲近, 和睦 |  | general
militaristic | /.militә'ristik/ |  | a. 军国主义的 |  | general
mujahedeen | /mu:d'ʒəhedi:n/ | n. | （尤指中东的）穆斯林游击队员 |  | general
keenness | /'ki:nnis/ | n. | 锐利, 尖锐, 敏感 |  | general
digitally |  | adv. | 数位 |  | general
backspin | /'bækspin/ | n. | (球,轮等的)逆转, 倒旋 |  | general
ghostwriter |  | n. | 受雇而代为作文/作画的人, 捉刀人 |  | general
coliseum | /,kɔli'siәm/ | n. | 大体育馆, 大剧场,大公共娱乐场 |  | society
blankness | /'blæŋknis/ | n. | 空白, 空虚, 单调 |  | general
athleticism | /æθ'letisizm/ | n. | 体育活动, 对运动的热爱 |  | general
urdu | /'uәdu:/ | n. | 乌尔都语 |  | culture
finis | /'fainis/ | n. | 终, 终结, 死 |  | culture
septicaemia |  | n. | 败血病, 败血症 |  | work
nous | /naus/ | n. | 精神, 常识；智力, 理智 |  | health
gluttony | /'glʌtәni/ | n. | 暴食, 贪食；善饥 |  | general
subsidization | /.sʌbsidai'zeiʃәn. -di'zei-/ | n. | 补助；提供津贴 |  | general
propagandistic | /prɒpəgæn'dɪstɪk/ |  | a. 宣传的, 宣传家的 |  | general
indemnification | /in.demnifi'keiʃәn/ | n. | 赔偿, 补偿(金), 保障；赔偿, 补偿 |  | general
besot | /bi'sɒt/ | v. | 使糊涂, 使痴迷, 使沉醉 |  | general
undetectable | /'ʌndi'tektәbl/ |  | a. 无法觉察的, 无法发现的 |  | general
earthen | /'ә:θәn/ |  | a. 土制的, 陶制的 |  | culture
hooey | /'hu:i/ | n. | 胡言乱语, 傻事；interj. 真傻, 骗人 |  | general
deluxe | /dә'luks/ |  | a. 高级的, 豪华的；adv. 豪华地 |  | general
attache | /ɑ:tɑ:'ʃei/ | n. | 使馆随员, 外交使团的专员；外交使节遂员, 专员, 公使 |  | general
latchkey | /'lætʃki:/ | n. | 弹簧锁钥匙 |  | general
unsentimental | /ˌʌnˌsentɪˈmentl/ |  | a. 不动感情的 |  | general
consomme | /kәn'sɔmei/ | n. | 清炖汤, 清炖鸡汤, 清炖肉汤 |  | general
starkness | /'sta:knis/ | n. | 严厉；质朴无华 |  | general
inexpressible | /.inik'spresәbl/ |  | a. 不能用语言表达的, 不可言传的, 不可 |  | culture
loaner | /'lәunә/ | n. | 借出者, 债权人；借出者, 债权人 |  | general
comradely | /'kɔmreidli/ |  | a. 同志式的, 同志般的 |  | culture
vertiginous | /vә:'tidʒinәs/ |  | a. 旋转的, 眩晕的；眩晕的 |  | general
grillwork | /'^rilw\\\\:k/ | n. | 格子形图案, 花格形装置 |  | culture
unvarying | /.ʌn'vєәriiŋ/ |  | a. 从无变化的, 不变的 |  | general
sunless | /'sʌnlis/ |  | a. 阳光照射不到的, 阴暗的 |  | general
summery | /'sʌmәri/ |  | a. 夏的, 夏天似的 |  | general
slackness | /'slæknɪs/ | n. | 懈怠 |  | general
intercessory | /.intә'sesәri/ |  | a. 仲裁的, 调解的 |  | general
sexless | /'sekslis/ |  | a. 无性的, 中性的, 无性别的, 缺乏性 |  | general
ripeness | /'raipnis/ | n. | 成熟, 圆通, 完成 |  | general
saliency |  | n. | 凸起, 突出, 特点, 特色 |  | general
inattentive | /.inә'tentiv/ |  | a. 不注意的, 怠慢的, 疏忽的 |  | general
excusable | /iks'kju:zәbl/ |  | a. 可原谅的, 可容许的, 可免除的；可辩解的, 可原谅的, 可免除的 |  | general
stimulative | /'stimjulәtiv/ | n. | 刺激, 促进因素；a. 刺激的, 促进的 |  | general
disorganise |  | v. | 瓦解, 打乱 |  | work
vigilantism | /,vidʒi'læntizәm/ |  | 治安维持会的政策 |  | society
disgustingly | /dɪsˈgʌstɪŋli/ | adv. | 讨厌地 |  | general
defeatism | /di'fi:tizm/ | n. | 失败主义 |  | general
decorously | /'dekərəslɪ/ | adv. | 有礼貌地, 高雅地 |  | general
stover | /'stәuvә/ | n. | 秸杆, 冬饲料 |  | general
woeful | /'wәuful/ |  | a. 悲伤的, 悲哀的 |  | general
viciousness |  | n. | 恶意；邪恶 |  | general
upstanding | /ʌp'stændiŋ/ |  | a. 直立的, 姿势笔直的, 正直的 |  | general
uninformative | /.ʌnin'fɔ:mәtiv/ |  | a. 不提供信息的；不增长见闻的 |  | general
hyoid | /'haiɒid/ |  | a. 舌骨的；n. 舌骨 |  | general
stridently | /'straidentli/ | adv. | 刺耳地；尖声地 |  | general
steepness | /'sti:pnis/ | n. | 险峻 |  | general
poetically | /pәu'etikәli/ | adv. | 理想化地 |  | general
obscenely | /əb'si:nli/ | adv. | 下流地；淫秽地 |  | general
newish | /'nju:iʃ/ |  | a. 尚新的 |  | general
institutionally |  | adv. | institutional的变形 |  | general
impish | /'impiʃ/ |  | a. 心地不良的, 顽皮的 |  | general
yerba | /'jә:bә/ | n. | 巴拉圭茶；草 |  | general
enticingly | /en'taisiŋli/ | adv. | 诱人地；迷人地 |  | general
cumulatively |  | adv. | 累积, 累加, 渐增, 与同一事实相重, 加 |  | general
verbalization | /.vә:bәlai'zeiʃәn/ | n. | 言语表现, 冗长, 累赘 |  | general
calorific | /.kælә'rifik/ |  | a. 生热的, 产热的, (热)卡的；生热的, 产热的 |  | general
abruptness | /ә'brʌptnis/ | n. | 突然, 唐突 |  | general
ungovernable | /.ʌn'gʌvәnәbl/ |  | a. 难管制的, 难压制的, 放肆的；难控制的, 难驾驭的, 难统治的 |  | general
uncapped | /'ʌnkæpt/ |  | a. 未授予队员帽的（队员） |  | general
typhus | /'taifәs/ | n. | 斑疹伤寒；斑疹伤寒 |  | health
absinthe | /'æbsinθ/ | n. | 艾酒 |  | general
temperamentally | /ˌtemprə'mentəlɪ/ | adv. | 在气质上；易兴奋地, 神经质地 |  | general
touchscreen | /tʌtʃɪzk'ri:n/ | n. | 触摸屏 |  | technology
semicircular | /.semi'sә:kjulә/ |  | a. 半圆的；半环形的 |  | general
seductively | /sɪ'dʌktɪvlɪ/ | adv. | 诱惑地；富有魅力地 |  | general
respectably | /ri'spektәbli/ | adv. | 高尚地, 可观地, 相当地 |  | general
biomedicine | /,baiәu'medisn/ | n. | 生物医学；生物医学 |  | environment
pettiness | /'petinis/ | n. | 琐碎, 微小, 小气, 委琐, 偏狭, 卑鄙 |  | general
slouchy | /'slautʃi/ |  | a. 没精打采的, 不整齐的 |  | general
costumer | /'kɔstju:mә(r), kɔ'stju:-/ | n. | 做服装的人, 服装商 |  | economy
noiselessly | /'nɔɪzləslɪ/ | adv. | 无声地, 静静地 |  | general
investigatory | /in'vesti^eitәri/ |  | a. 调查的, 审查的 |  | general
skewness |  |  | 倾斜度；偏斜 |  | general
earthbound | /'\\\\:θbajnd/ |  | a. 只在地球上的, 只在地面的, 只在陆地 |  | culture
congeniality | /kәn.dʒi:ni'æliti/ | n. | 一致, 意气相投, 适意 |  | general
contagion | /kәn'teidʒәn/ | n. | 触染, 触染病, 蔓延, 歪风；接触传染 |  | general
undetermined | /'ʌndi'tә:mind/ |  | a. 未经决定的, 未确定的, 性质未明的；未定的 |  | general
schnitzel | /'ʃnitsәl/ | n. | 炸小牛肉片 |  | general
reuptake | /,ri:'ʌpteik/ | n. | (神经细胞对化学物质的)再吸收,再摄取 |  | general
eighths | /eɪtθs/ | n. | 第八( eighth的名词复数 )；微醉 |  | culture
slickness | /'sliknis/ | n. | 光滑, 巧妙, 花言巧语 |  | general
forgettable | /fә'getәbl/ |  | a. 容易被忘的, 可忘记的 |  | general
fastidiously | /fæs'tidiәsli/ | adv. | 非常讲究地, 一丝不苟地 |  | general
ocotillo | /,әjkә'ti:ljәj/ | n. | 墨西哥刺木,马鞭,蔓仙人掌 |  | general
expansively | /ɪk'spænsɪvlɪ/ | adv. | 可扩张地, 辽阔地 |  | general
contemporaneously | /kənˌtempə'renɪəslɪ/ | adv. | 同时发生, 同时存在 |  | general
childishly | /'tʃaɪldɪʃlɪ/ | adv. | 天真地, 幼小地；幼稚地 |  | general
callousness | /'kæləsnis/ | n. | 麻木不仁 |  | culture
belligerently |  | adv. | 好战地；好斗地 |  | general
catechesis | /,kætә'ki:sis/ | n. | 口授经文教理,用问答方式演讲 |  | culture
omnipotence | /ɒm'nipәtәns/ | n. | 全能, 无限力量, 全能之神；全能 |  | general
meltdown | /'meltdaun/ |  | 销毁(货币等), 变卖(财产) |  | economy
contentiousness |  | n. | contentious的变形 |  | general
oversell | /.әuvә'sel/ | v. | 销售过多, 卖空, 过分吹嘘；vi. 卖空, 吹嘘过分 |  | economy
dreamlike | /'dri:mlaik/ |  | a. 梦一般的, 梦幻的 |  | general
bloodthirsty | /'blʌd.θә:sti/ |  | a. 嗜杀的, 残忍的 |  | general
slugfest | /'slʌgfest/ | n. | 激烈殴斗 |  | general
arcminute |  |  | 弧分 |  | general
wonky | /'wɒŋki/ |  | a. 不稳的, 摇晃的, 靠不住的 |  | general
unpolluted | /ʌnpә'lu:tid/ |  | a. 未被污染的, 清洁的, 未被玷污的 |  | environment
uncircumcised | /.ʌn'sә:kәmsaizd/ |  | a. 未受割礼的, 非犹太人的, 异邦人的 |  | general
soulful | /'sәulful/ |  | a. 充满精神的, 感情上的, 高尚的 |  | health
riddance | /'ridns/ | n. | 摆脱, 除去, 驱逐 |  | general
disinformation | /.disinfә'meiʃәn/ | n. | 假情报 |  | economy
malarial | /mә'leәriәl/ |  | 疟疾的 |  | general
brill | /bril/ | n. | 一种可食用的欧洲比目鱼；鲽类鱼 |  | general
asceticism | /ә'setisizm/ | n. | 禁欲主义, 苦行生涯；制欲主义 |  | general
opposable | /ә'pәuzәbl/ |  | a. 可反对的, 可对抗的, 可对立的 |  | general
woolens |  | n. | 毛织品, 毛料衣服, 毛线衣, 羊毛织物 |  | general
cogency | /'kәudʒәnsi/ | n. | 说服力, 切题, 中肯；说服力, 令人信服的说法 |  | general
senselessly | /'senslisli/ |  | 毫无知觉地；无意识地 |  | general
pothead | /'pɔt,hed/ | n. | 吸大麻者 |  | general
unseasoned | /'ʌn'si:znd/ |  | a. 未熟透的, 未干透的, 未成熟的, 无 |  | general
pertinently | /'pɜ:tɪnəntlɪ/ | adv. | 适切地 |  | general
manzanita | /mænzә'ni:tә/ | n. | 熊果树 |  | general
voraciously | /və'reɪʃəslɪ/ | adv. | 贪婪地 |  | general
unrepeatable |  |  | 不可重复的 |  | general
statism | /'steitizm/ | n. | 中央集权制；国家主义 |  | society
unmercifully | /ʌn'mɜːsɪfʊli/ | adv. | 不仁慈地；残酷地 |  | general
unheralded | /ʌnˈherəldɪd/ |  | a. （艺术家、运动员等）被埋没的, 怀才未；出乎意料的 |  | culture
uncommunicative | /.ʌnkә'mju:nikәtiv/ |  | a. 不爱说话的, 沉默寡言的 |  | general
syrupy | /'sirәpi/ |  | a. 糖浆的, 糖浆状的, 甜蜜的, 美妙的 |  | general
skulduggery | /skʌl'dʌgәri/ | n. | 欺骗, 欺诈, 作假 |  | general
sagacity | /sә'gæsiti/ | n. | 睿智, 聪敏 |  | health
