# word | phonetic | pos. | meaning | example | topic
whitetail | /'waitteil/ | n. | 白尾鹿 |  | general
humanism | /'hju:mәnizm/ | n. | 人本主义, 人文主义, 人道主义；人道主义, 人文主义, 人本主义 |  | culture
garth | /gɑ:θ/ | n. | 中庭, 庭院 |  | culture
domesday | /'du:mzdei/ | n. | 世界末日, 最后审判日 |  | general
penn | /pen/ | abbr. | 宾夕法尼亚大学（Pennsylvania） |  | education
dialectical | /,daiә'lektikәl/ |  | a. 辩证的, 辩证法的 |  | economy
latte | /ˈlɑ:teɪ/ | n. | 拿铁咖啡；（意大利语）牛奶 |  | general
morphine | /'mɒ:fi:n/ | n. | 吗啡；吗啡 |  | health
gobbler | /'gɒblә/ | n. | 雄火鸡 |  | general
overleaf | /'әuvәli:f/ | adv. | 在背面, 在次页 |  | general
dynastic | /dai'næstik/ |  | a. 王朝的 |  | general
jagger | /'jɑ:^ә/ |  | L形吊骨 |  | general
misbehavior | /'misbi'heivjә/ | n. | 不正当的举止, 不规矩的行为；行为不端, 品行不良, 不正当的举止 |  | general
epicenter | /'episentә/ | n. | 震中, 中心 |  | culture
wrongful | /'rɒŋful/ |  | a. 不正当的, 不法的, 不讲道理的；错误的, 不正当的, 伤害的 |  | society
pita | /'pi:tə/ | n. | （希腊和中东地区的）皮塔饼 |  | general
rico |  | abbr. | 反诈骗腐败组织集团犯罪法（Racketeer |  | society
meningitis | /.menin'dʒaitis/ | n. | 脑膜炎；脑膜炎 |  | health
bourne | /buәn/ | n. | 小溪；目的地 |  | general
blenheim | /'blenim/ | n. | 布伦海姆（德国西部村庄）；布伦海姆（狗的一种） |  | general
uterus | /'ju:tәrәs/ | n. | 子宫；子宫 |  | general
pegasus | /'pe^әsәs/ | n. | 诗兴, 诗才 |  | general
unsavory | /ʌn'seivәri/ |  | a. 没有味道的, 没有香味的, 难吃的 |  | general
hooliganism |  | n. | 流氓行为；流氓行为 |  | general
dom | /dɔm/ | n. | 师（对罗马天主教等修士的尊称） |  | general
childbearing | /'tʃaildbєәriŋ/ | n. | 分娩；分娩, 生产 |  | work
hesitantly |  | adv. | 迟疑地；踌躇地 |  | general
apologetically | /ә.pɒlә'dʒetikli/ | adv. | 道歉地, 辩解地 |  | general
doubtfully |  | adv. | 含糊地；怀疑地 |  | general
preemption | /pri:'empʃәn/ | n. | 先买, 先买权；预先占有, 优先购买权, 抢先购买 |  | society
crosswise | /'krɒswaiz/ | adv. | 斜地, 成十字状地, 交叉地；十字形向, 横向 |  | general
mayer | /'meiә/ |  | 迈尔(热容单位) |  | general
wildfowl | /'waildfaul/ | n. | 猎鸟 |  | general
chicano | /tʃi:'kɑ:nәj/ | n. | 住在美国的墨西哥男人, 奇卡诺人 |  | general
sugarcane | /'ʃugәkein/ | n. | 甘蔗, 糖蔗 |  | economy
proactive | /,prәu'æktiv/ |  | a. 〈心理〉前摄的 |  | health
electrification | /i.lektrifi'keiʃәn/ | n. | 起电, 带电, 电气化；起电 |  | general
tonal | /'tәunl/ |  | a. 音调的, 色调的 |  | work
perestroika | /ˌperəs'trɔɪkə/ | n. | （苏联经济与政治体制的）改革；调整 |  | economy
ambit | /'æmbit/ | n. | 周围, 范围, 界限, 领域 |  | general
ionic | /ai'ɒnik/ |  | a. 离子的, 爱奥尼亚的, 爱奥尼亚韵律的；n. 爱奥尼亚方言 |  | culture
protectionism | /prә'tekʃәnizm/ | n. | 贸易保护主义, 贸易保护制；保护(贸易)主义, 保护(贸易)制 |  | economy
malone | /mә'lәun/ | n. | 马龙 |  | general
sonny | /'sʌni/ | n. | 宝贝, 小家伙 |  | general
disneyland | /'diznilænd/ | n. | 迪斯尼乐园 |  | general
knitwear | /'nit,weә/ | n. | 针织品 |  | general
decentralisation | /di:,sentrәlai'zeiʃən/ | n. | <主英>=decentralization |  | society
botanic | /bә'tænik/ |  | 植物界的, 植物学的 |  | general
octagonal | /ɒk'tægәnәl/ |  | a. 八边形的, 八角形的 |  | general
unconstitutional | /'ʌnkɔnsti'tju:ʃәnәl/ |  | a. 违反宪法的, 不符合宪法的；违反宪法的, 违宪的, 不合宪法规定的 |  | general
hotspur | /'hɒtspә:/ | n. | 性急的人, 暴躁的人 |  | general
obediently | /әu'bi:diәntli/ | adv. | 顺从地；服从地 |  | general
ballgame |  | n. | （美）棒球运动 |  | culture
socialization | /.sәuʃәlai'zeiʃәn/ | n. | 社会化, 社会主义化 |  | society
feudalism | /'fju:dәlizәm/ | n. | 封建主义, 封建制度 |  | society
trotsky | /'trɔtski/ | n. | 托洛茨基（前苏联托洛茨基集团领袖, 后被开除 |  | culture
spousal | /'spauzl/ | n. | 结婚, 结亲, 婚礼；a. 结婚的 |  | general
layup | /'leiʌp/ |  | 接头处 |  | general
multicultural | /.mʌlti'kʌltʃәrәl/ |  | a. 融合或具有多种文化的；多种文化的 |  | culture
criminality | /.krimi'næliti/ | n. | 犯罪, 有罪, 犯罪行为；有罪, 犯罪行为, 犯罪性 |  | society
stratosphere | /'strætәsfiә/ | n. | 同温层, 最上层, 尖端的学科领域；同温层, 平流层 |  | education
bowie | /'bәui/ | n. | 鲍伊猎刀 |  | general
congregational | /.kɒŋgri'geiʃәnl/ |  | a. 会众的, 公理教会的 |  | culture
hardcore | /'hɑ:dkɔ:/ |  | a. 赤裸裸描写性行为的 |  | general
belmont | /bel'mɔnt/ | n. | 贝尔蒙（一种烟的名字）；贝尔蒙特（酒店名） |  | general
socialisation | /,səuʃəlai'zeiʃən, -li'z-/ | n. | 社会化 |  | society
aquaculture | /'ækwә.kʌltʃә/ | n. | 水产养殖 |  | general
sarcastically | /sɑ:'kæstɪklɪ/ | adv. | 讽刺地, 挖苦地 |  | general
airbus | /'eәbʌs/ |  | 空中客车 |  | general
lazily | /'leizili/ | adv. | 懒洋洋地 |  | general
vulcan |  | n. | 伏尔甘（火和锻冶的神） |  | culture
pugh | /pju:/ |  | interj. 呸(表示轻蔑、嫌恶) |  | general
liturgical | /li'tә:dʒikl/ |  | a. 礼拜仪式的 |  | general
waller | /'wɔlә/ | n. | 石垛工；煤矿井下充填工 |  | culture
nowt | /naut/ | n. | (=naught)邪恶, 恶人 |  | general
anaesthesia | /.ænis'θi:zjә/ | n. | 麻木, 麻醉；感觉缺失, 麻木, 麻醉 |  | general
pulmonary | /'pʌlmәnәri/ |  | a. 肺的, 与肺有关的, 有肺的；肺的 |  | general
snell | /snel/ | n. | 系钩线；a. 厉害的, 精明的 |  | general
wainwright | /'weinrait/ | n. | 四轮运货马车修造工 |  | general
lakeside | /'leiksaid/ | n. | 湖边 |  | general
retardation | /.ri:tɑ:'deiʃәn/ | n. | 迟延, 妨碍, 阻止；缓聚作用 |  | general
enamor | /i'næmә/ | v. | 迷住, 使迷恋 |  | general
livingston | /'liviŋstən/ | n. | 利文斯顿（美国新泽西州东北部城镇） |  | general
chi | /kai, ki:/ | n. | 希腊语的第22个字母；卡, χ(希腊文的第二十二个字母) |  | general
silva | /'silvә/ | n. | 森林, 森林志 |  | environment
colonisation | /,kɔlənai'zeiʃən/ | n. | 定殖；殖民地化 |  | general
porn | /pɔ:n/ | n. | 色情描写, 黄色书刊, 色情画, 色情照片 |  | culture
expressionless | /ik'spreʃәnlis/ |  | a. 无表情的, 呆板的 |  | general
botswana | /bɔt'swɑ:nә/ | n. | 博茨瓦纳（非洲中南部国家） |  | general
sao |  | abbr. | 区段刻录（Session at once）；安全咨询意见 |  | general
empowerment | /ɪm'paʊəmənt/ | n. | 授权；许可 |  | general
mavis | /'meivis/ | n. | 歌鸫 |  | general
chargeable | /'tʃɑ:dʒәbl/ |  | a. 应支付的；可记在某人帐上 |  | general
psychosis | /sai'kәusis/ | n. | 精神病, 精神不正常；精神病 |  | health
bundesbank | /'bundəs,bæŋk/ | n. | 德意志联邦银行 |  | economy
hullo | /hә'lәu/ | int. | 喂, 哈啰（等于hello） |  | general
federalism | /'fedәrәliz(ә)m/ | n. | 联邦制, 联邦主义；联邦制 |  | work
epistemological | /,episti(:)mә'lɔdʒikәl/ |  | a. 认识论的 |  | general
taiwanese | /,taiwɑ:'ni:z, -'ni:s/ |  | a. 台湾人的；台湾的 |  | culture
radiological | /'reidiou'lɒdʒikl/ |  | a. 放射学的 |  | general
urinary | /'juәrinәri/ |  | a. 尿的, 泌尿的；n. 小便处 |  | general
holdout | /'hәuldaut/ | n. | 抵抗, 坚持, 支持 |  | general
internist | /in'tә:nist/ | n. | 内科医师；内科医师 |  | general
evangelism | /i'vændʒәlizm/ | n. | 福音传道, 福音传道者的工作, 福音主义 |  | work
incredulously | /ɪn'kredjələslɪ/ | adv. | 不相信地, 怀疑地 |  | general
birdie | /'bә:di/ | n. | 小鸟 |  | general
curtly | /'kә:tli/ | adv. | 简略地, 草率地 |  | general
antenatal | /.ænti'neitl/ |  | a. 出生前的；出生前的 |  | general
incineration | /in.sinә'reiʃәn/ | n. | 烧成灰, 焚化, 灰化；焚化, 灰化, 火葬 |  | general
positivism | /'pɒzitivizm/ | n. | 实证论, 实证主义；实在法主义, 实证主义 |  | general
hardline |  | n. | 强硬路线；硬线 |  | general
cystic | /'sistik/ |  | a. 胞囊的, 膀胱的, 胆囊的；囊的 |  | general
breathlessly | /'breθləslɪ/ | adv. | 气喘地, 屏息地 |  | general
microelectronics | /'maikrәji,lek'trɔniks, -,i:lek-/ | n. | 微电子学；微电子 |  | technology
coursework | /ˈkɔ:swɜ:k/ |  | 国外的硕士入学方式分为两种, 其中的一种为c |  | education
amelia | /ә'mi:ljә/ |  | 无肢, 缺肢 |  | general
epidemiology | /,epi,di:mi'ɔlәdʒi/ | n. | 传染病学, 流行病学；流行病学 |  | health
geophysical | /.dʒi:әu'fizikl/ |  | a. 地球物理学的 |  | general
cardiovascular | /kɑ:diәu'væskjulә/ |  | a. 心血管的；心血管的 |  | culture
maximal | /'mæksiml/ |  | a. 最大的, 最高的；最大的, 最高的 |  | general
midi | /'midi/ | n. | 中长裙, 乐器数字化接口；乐器数字化接口 |  | technology
antebellum | /.ænti'belәm/ |  | a. 战前的, 南北战争前的 |  | general
hypnosis | /hip'nәusis/ | n. | 催眠状态, 催眠术；催眠, 催眠状态 |  | general
unregistered | /ʌn'redʒistәd/ |  | 未登记的, 未注册的 |  | general
favoritism | /'feivәritizm/ | n. | 偏爱, 偏袒 |  | general
ethnographic | /ˌeθnə'ɡræfɪk/ |  | a. 人种志的 |  | general
cantaloupe | /'kæntәlu:p/ | n. | 罗马甜瓜 |  | general
deterrence | /di'tә:rәns/ | n. | 威慑, 威慑力量；威慑力量, 制止物 |  | general
cheerio | /tʃiәri'әj/ |  | interj. 再会, 再见, 干杯 |  | general
liberalization | /.libәrәlai'zeiʃәn/ | n. | 自由主义化, 宽大；自由化 |  | general
cirrhosis | /si'rәusis/ | n. | 肝硬化；硬变 |  | health
restlessly |  | adv. | 不安地；慌张地 |  | general
willfully |  | adv. | 故意地；任性固执地 |  | general
microscopy | /mai'krɒskәpi/ | n. | 显微镜使用, 用显微镜检查, 显微镜学；显微镜检查 |  | general
taxonomic | /tæksә'nɔmik/ |  | a. 分类学的, 分类的；分类的 |  | general
jihadist |  | n. | 伊斯兰圣战士 |  | general
radiotherapy | /.reidiәu'θerәpi/ | n. | 放射疗法；放射疗法, 放射治疗 |  | health
endogenous | /en'dɔdʒәnәs/ |  | a. 内源的；内生的, 内原的 |  | general
sal | /sɑ:l/ | n. | 婆罗双树, 盐；盐 |  | general
delusional |  |  | 妄想的 |  | general
ruddock | /'rʌdәk/ | n. | 知更鸟 |  | general
bibliographic | /.bibliә'græfik/ |  | a. 书目有关的, 书目的 |  | general
referential | /.refә'renʃәl/ |  | a. 与...有关的, 有所指的；参考的, 参照的, 指示的 |  | general
shutout | /'ʃʌtaut/ | n. | 关厂, 停业, 被关在外面的人, 不让对方得；退关, 闭厂, 停业 |  | general
ducal | /'dju:kәl/ |  | a. 公爵的, 象公爵的, 公爵领地的 |  | general
aromatherapy | /ərəʊmə'θerəpɪ/ | n. | 用香料按摩 |  | health
saltwater | /'sɒ:ltwɒ:tә/ |  | a. 盐水的, 海产的, 海上的 |  | general
signor | /'si:njɔ:/ | n. | 绅士, 男人, 先生 |  | general
shakily | /'ʃeikili/ | adv. | 颤抖着, 摇动着, 不可靠地 |  | general
epidemiological |  |  | a. 流行病学 |  | general
appellate | /ә'pelit/ |  | a. 上诉的, 有权受理上诉的；受理上诉的, 上诉的, 控诉的 |  | general
kuhn | /ku:n/ | n. | 库恩（德国化学家, 曾获1938年诺贝尔化学 |  | general
stour | /stuә/ |  | a. 强壮的, 严厉的, 苛刻的；n. (英)(非正式)吵闹, 骚乱, 粉末 |  | society
absently | /'æbsәntli/ | adv. | 心不在焉地 |  | general
lymph | /limf/ | n. | 淋巴；淋巴, 浆, 苗 |  | general
methyl | /'meθil/ | n. | 甲基；甲基 |  | general
structuralism | /'strʌktʃәrәlizm/ | n. | 结构主义 |  | education
