# word | phonetic | pos. | meaning | example | topic
nautilus | /'nɒ:tilәs/ | n. | 鹦鹉螺, 船蛸 |  | general
prognosticator | /prɒg'nɒstikeitә/ | n. | 预言者, 占卜者 |  | general
indictable | /in'daitәbl/ |  | a. 可起诉的；可被控告的, 可提起公诉的 |  | general
breadfruit |  | n. | 面包果 |  | general
planar | /'pleinә/ |  | a. 平面的, 在同一平面上的, 二维的；平面 |  | general
meaningfulness | /'mi:nɪŋflnəs/ | n. | 富有意义 |  | general
librarianship | /lɪ'brɛərɪənʃɪp/ |  | 图书馆长的职位 |  | work
rhinitis | /rai'naitis/ | n. | 鼻炎；鼻炎 |  | general
compressive | /kәm'presiv/ |  | a. 有压缩力的；有压缩力, 压缩性的 |  | general
acidification | /ә.sidifi'keiʃәn/ | n. | 使发酸, 酸化, 成酸性；酸化 |  | general
dauphin | /'dɒ:fin/ | n. | (法国)皇太子 |  | general
transferability | /.trænsfәrә'biliti/ | n. | 可转移性, 可转让性 |  | general
supplemental | /.sʌpli'mentl/ |  | a. 补足的, 追加的；补充的, 补足的 |  | general
internationalization | /intә,næʃәnәlai'zeiʃәn/ | n. | 国际化, 国际共管；国际化 |  | general
individuation | /'indi.vidʒu'eiʃәn/ | n. | 个体化, 赋予个性, 个性化；个性发生, 个体化 |  | environment
gouache | /ɡu'ɑ:ʃ/ | n. | 树胶水彩画；水粉画 |  | general
cytoplasm | /'saitәplæzm/ | n. | 细胞质；胞质, 胞浆 |  | general
procreative | /'prәukrieitiv/ |  | a. 会生产的, 有生殖力的；生殖的, 能生殖的 |  | work
geostrategic | /,dʒi(:)әustrә'ti:dʒik/ |  | a. 地缘政治学的 |  | general
gentamicin | /,dʒentә'maisin/ | n. | 庆大霉素；庆大霉素 |  | economy
doppler | /'dɔplә/ |  | a. （奥地利物理学家）多普勒的 |  | general
marge | /mɑ:dʒ/ | n. | 边缘（等于margin） |  | general
murrelet | /'mә:lit/ | n. | 小海鸦 |  | environment
conductive | /kәn'dʌktiv/ |  | a. 传导性的, 有传导力的, 传导的；传导性的 |  | general
intravenously |  | adv. | 静脉内地, 静脉注射地 |  | general
contestable | /kәn'testәbl/ |  | a. 可争的, 争论的 |  | general
bodleian | /bɔd'li:әn/ | n. | 牛津大学图书馆；a. 牛津大学图书馆的 |  | education
squiggly | /'skwɪɡlɪ/ |  | a. 弯弯曲曲的 |  | general
leveling | /'levәliŋ/ | n. | 水准测量 |  | general
sds |  | abbr. | 学生争取民主社会运动（Students fo |  | education
bebop | /'bi:bɒp/ | n. | 博普爵士乐 |  | general
speedway | /'spi:dwei/ | n. | 汽车(或摩托车)竞赛场, 高速公路 |  | general
merchantable | /'mә:tʃәntәbl/ |  | a. 可买卖的, 有销路的；有销路的, 可销售的 |  | general
actionable | /'ækʃәnәbl/ |  | a. 可提起诉讼的；能起诉的 |  | general
flatbread | /flætb'red/ | n. | 大饼, 扁面包 |  | general
minsk | /minsk/ | n. | 明斯克（白俄罗斯首都） |  | general
precession | /pri'seʃәn/ | n. | 先行, 优先；进动 |  | general
meteoroid | /'mi:tiәrɒid/ | n. | 流星体 |  | culture
demonization | /,di:mənai'zeiʃən, -ni'z-/ | n. | 妖魔化 |  | general
bluefin | /'blu:fin/ | n. | 金枪鱼 |  | general
pictograph | /.piktә'grɑ:f/ | n. | 象形文字, 古代石壁画, 统计图表；剪影儿童视力表 |  | general
seersucker | /'siәsʌkә/ | n. | 绉条纹薄织物, 泡泡沙 |  | general
raceway | /'reiswei/ | n. | 水道, 座圈；槽板 |  | general
cystitis | /sis'taitis/ | n. | 膀胱炎；膀胱炎 |  | general
mutely | /'mju:tli/ | adv. | 无言地, 不发声地 |  | general
enquiringly | /ɪn'kwaɪərɪŋlɪ/ |  | 怀疑地 |  | general
levelly | /ˈlevəli/ | adv. | 水准地, 不动心地 |  | general
distractedly | /dis'træktidli/ | adv. | 心烦意乱地 |  | general
bacillus | /bә'silәs/ | n. | 杆菌, 细菌；芽胞杆菌属, 杆菌属 |  | general
nativism | /'neitivizm/ | n. | 先天论, 乡土主义, 本土主义 |  | society
lengthways | /'leŋθweiz/ | adv. | 纵向；长, 竖 |  | general
beignet | /bei'jei/ |  | 带馅煎饼 |  | general
urology | /juә'rɒlәdʒi/ | n. | 泌尿科学；泌尿科学 |  | general
dengue | /'deŋgi/ | n. | 登革热；登革热 |  | health
hopefulness |  | n. | 抱有希望 |  | general
bidirectional | /,baidi'rekʃәnәl/ |  | 双向的 |  | general
atomistic | /.ætәu'mistik/ |  | a. 原子的, 原子论的 |  | general
ghostlike | /'^әjstlaik/ |  | a. 象鬼样的 |  | general
sockeye | /'sɒkai/ | n. | 红大马哈鱼 |  | general
otolaryngology | /,әutәu,læriŋ'^ɔlәdʒi/ | n. | 耳鼻喉科学；耳鼻喉科学 |  | health
pathogenic | /.pæθә'dʒenik/ |  | a. 致病的, 成为病原的, 病原的；致病的, 病原的 |  | health
goddam | /ˈgɒddæm/ |  | a. （受）诅咒的, 讨厌的 |  | general
taffy | /'tæfi/ | n. | 太妃糖, 阿谀, 威尔士人 |  | general
negativity | /.negә'tiviti/ | n. | 否定性, 消极性 |  | general
sashimi | /sɑ:'ʃi:mi/ | n. | <日>生鱼片 |  | general
couture | /ku'ty:r/ | n. | 时髦女子服装业 |  | general
anaphylaxis | /.ænәfi'læksis/ | n. | 过敏性；过敏性, 过敏症, 过敏反应 |  | health
buckshot | /'bʌkʃɔt/ | n. | <美>(猎兽用)大型铅弹 |  | general
centerline | /'sentәlain/ |  | 中心线 |  | general
pelagic | /pe'lædʒik/ |  | a. 远洋的, 浮游的；海洋的, 海栖的 |  | general
telecoms | /'tɛləkə'mjʊnə'keʃənz/ |  | 电信 |  | technology
audiogram | /'ɔ:diә,^ræm/ | n. | 听力图；听力图 |  | general
mir | /miә/ | n. | 米尔（沙俄时代的一种村社组织） |  | society
aerie | /'єәri/ | n. | 猛禽的巢, 高处的房子, 高处的城堡 |  | general
discipleship | /dɪ'saɪplʃɪp/ | n. | 做弟子的身份（期间） |  | general
kraft | /krɑ:ft/ | n. | 牛皮纸 |  | general
recherche |  |  | a. 精选的, 罕见的, 珍奇的 |  | general
covalent | /kәu'veilәnt/ |  | a. 共有原子价的, 共价的 |  | general
aught | /ɒ:t/ | n. | 任何事物, 零 |  | general
upwind | /'ʌp'wind/ |  | a. 迎风的, 顶风的；adv. 迎风地, 顶风地 |  | general
scouse | /skaus/ | n. | （海员常吃的）炖杂烩（肉和蔬菜和饼干等混成的 |  | general
bilingualism |  | n. | 使用两种语言 |  | culture
cowrie | /'kajri/ | n. | 宝贝, 海, 贝壳 |  | general
jackrabbit | /ˈdʒækræbɪt/ | n. | 长耳大野兔 |  | culture
onstage | /'ɔn'steidʒ/ | adv. | 在前台；a. 在前台的 |  | general
pinata | /pɪ'nɑ:tə/ | n. | <西>彩罐 |  | general
lye | /lai/ | n. | 灰汁, 碱液；碱液 |  | general
exoneration | /ig.zɒnә'reiʃәn/ | n. | 免罪, 免除；免除, 解除, 免于 |  | general
thoracic | /θɒ:'ræsik/ |  | a. 胸的；胸的, 胸廓的 |  | general
pushcart | /'puʃkɑ:t/ | n. | 手推车 |  | general
beneficially |  | adv. | 受益地；获利地 |  | general
wynn |  | n. | 永利（酒店名） |  | general
tomography | /tә'mɒgrәfi/ | n. | X线断层摄影术；X线体层照相术, X线断层照相术 |  | general
decompression | /,di:kәm'preʃәn/ |  | 降压, 解除压缩, 脱压缩；减压 |  | general
snowsuit | /'snәusju:t/ | n. | 孩童风雪装 |  | general
viscose | /'viskәus/ | n. | 粘胶, 纤维胶；粘的, 粘胶的, 粘胶丝 |  | general
sanitarium | /,sæni'teәriәm/ | n. | 疗养院, 休养地, 休养所, 疗养所；疗养院, 疗养所 |  | health
interlocutory | /.intә'lɒkjutәri/ |  | a. 对话的, 插话的, 中间的；对话的, 临时的, 非最后的 |  | general
untracked | /ʌn'trækt/ |  | a. (经济萧条以后)开始回升的；无路径的 |  | economy
dissociative | /di'sәuʃieitiv/ |  | a. 分离的, 游离的 |  | general
sanitarian | /.sæni'tєәriәn/ |  | a. 卫生的, 保健的；n. 公共卫生学家 |  | health
marlin | /'mɑ:lin/ | n. | 枪鱼 |  | general
beowulf |  | n. | 贝奥武夫（有记载的最早的一部英国文学作品） |  | culture
defamatory | /di'fæmәtәri/ |  | a. 破坏名誉的, 诽谤的；破坏名誉的, 诽谤的, 中伤的 |  | general
metadata |  |  | 元数据 |  | technology
geode | /'dʒi:әud/ | n. | 空心石核, 晶洞, 晶洞状物；淋巴腔 |  | general
indexation | /,indek'seiʃәn/ |  | 指数化 |  | economy
eucharistic | /,ju:kə'ristik/ |  | a. 圣餐的, 圣体的 |  | general
intertidal | /,intә(:)'taidl/ |  | a. 高潮线与低潮线之间的 |  | general
tawney | /'tɔ:ni/ |  | a. 茶色的 |  | economy
tiredly | /ˈtaɪədlɪ/ | adv. | 疲劳地, 累地, 疲倦地 |  | general
preschool | /'pri:'sku:l/ |  | a. 就学前的；n. 育幼院, 幼稚园 |  | education
easternmost | /'i:stәnmәust/ |  | a. 最东部的 |  | culture
tarragon | /'tærәgәn/ | n. | 龙蒿；龙艾 |  | general
convertibility | /kәn.vә:tә'biliti/ | n. | 可改变性, 可变换, 可兑换；可兑换性 |  | general
esthetics | /i:s'θetiks/ | n. | 美学 |  | culture
radiative | /'reidieitiv/ |  | a. 发光的, 放热的, 放射的 |  | general
interactional |  |  | 交互的, 会话的 |  | general
rabat | /rә'bæt/ | n. | 黑色短披肩 |  | general
conditionality | /kәn.diʃә'næliti/ | n. | 受限制性, 制约性 |  | general
amniocentesis | /.æmniәusen'ti:sis/ | n. | 羊膜穿刺术 |  | general
triune | /'traiju:n/ |  | a. 三位一体的；n. 三个一组 |  | general
noblesse | /nәu'bles/ | n. | 贵族阶级 |  | general
clamshell | /'klæmʃәl/ | n. | 蛤壳, 蛤壳状挖泥器 |  | general
sociality | /,sәuʃi'æliti/ | n. | 好交际, 社交性, 社交行为, 社会性, 群 |  | society
pervasively |  | adv. | 无处不在地, 遍布地 |  | general
rhesus | /'ri:sәs/ | n. | 恒河猴；恒河猴, 猕 |  | health
phonetically | /fәu'netikli/ | adv. | 按照发音地, 语音学上 |  | general
sawtooth | /'sɒ:tu:θ/ | n. | 锯齿 |  | general
erythema | /.eri'θi:mә/ | n. | 红斑；红斑 |  | general
passel | /'pæsәl/ | n. | 一批, 一群 |  | general
discolored | /dɪs'kʌlərd/ |  | a. 脱色的, 污染的 |  | environment
clubby | /'klʌbi/ |  | a. 象俱乐部的, 爱交际的, 排外的 |  | society
neuronal |  |  | a. 神经原, 轴索, 神经细胞；二乙基溴乙酰胺 |  | general
intrauterine | /.intrә'ju:tәrain/ |  | a. 子宫内的 |  | general
rummy | /'rʌmi/ |  | a. 朗姆酒的, 奇妙的, 古怪的；n. 酒鬼, 拉米纸牌戏 |  | general
localization | /.lәukәlai'zeiʃәn/ | n. | 局限, 地方化；定位化 |  | general
zinger | /'ziŋә/ | n. | 有力的反驳/警句 |  | general
dressage | /'dresɑ:ʒ/ | n. | 花式骑术训练 |  | general
dev |  | abbr. | 发展（develop）；偏差（deviation） |  | general
worriedly |  | adv. | 担心地；焦虑地 |  | general
disfavor | /dis'feivә/ | n. | 厌恶, 不悦, 失宠；vt. 不赞成, 冷待 |  | general
serotonin | /.siәrәu'tәunin/ | n. | 血清素；5-羟色胺 |  | general
lexis | /'leksәs/ | n. | 词, 词汇 |  | culture
bogie | /'bәugi/ | n. | 妖怪, 可怕的人(物)；转向架 |  | general
neighborly | /'neibәli/ |  | a. 附近的, 邻近的, 邻人的, 睦邻的 |  | general
sassafras | /'sæsәfræs/ | n. | 擦树属, 黄樟；黄樟 |  | general
raggedly | /'ræɡɪdlɪ/ | adv. | 破烂地, 粗糙地 |  | general
alp | /ælp/ | n. | 高山；交替程序, 运算逻辑处理器, 汇编语言程序 |  | technology
caboose | /kә'bu:s/ | n. | (载货火车的)守车, 轮船上的厨房 |  | general
dueling |  | n. | 决斗；竞争 |  | general
kepler | /'keplә/ | n. | 开普勒（德国天文学家, 物理学家, 开普勒定；开普勒环形山（在月球东北象限, 直径为35公 |  | society
talkie | /'tɒ:ki/ | n. | 有声电影 |  | culture
